row_code,true_row,is_probe
ROW-001,Q93,0
ROW-002,Q359,0
ROW-003,Q313,0
ROW-004,Q212,0
ROW-005,A4,1
ROW-006,Q386,0
ROW-007,Q28,0
ROW-008,Q157(v1.1),0
ROW-009,Q259,0
ROW-010,Q167(v1.1),0
ROW-011,Q236,0
ROW-012,Q105(v1.1),0
ROW-013,A101,0
ROW-014,Q276,0
ROW-015,Q370,0
ROW-016,Q276,1
ROW-017,Q269,0
ROW-018,Q220,0
ROW-019,Q200(v1.1),0
ROW-020,Q146(v1.1),0
ROW-021,Q38,0
ROW-022,Q363,0
ROW-023,Q84,0
ROW-024,Q351,0
ROW-025,Q268,0
ROW-026,A19,0
ROW-027,Q316,0
ROW-028,Q118(v1.1),0
ROW-029,Q382,0
ROW-030,Q394,0
ROW-031,Q82,0
ROW-032,Q257,0
ROW-033,A148,0
ROW-034,Q244,0
ROW-035,Q95,0
ROW-036,Q95,1
ROW-037,Q1,1
ROW-038,Q368,0
ROW-039,Q90,0
ROW-040,Q259,1
ROW-041,Q77,0
ROW-042,Q56,0
ROW-043,A124,0
ROW-044,Q18,0
ROW-045,Q395,0
ROW-046,Q119(v1.1),0
ROW-047,Q301,0
ROW-048,Q324,1
ROW-049,Q202,0
ROW-050,Q279,0
ROW-051,Q190(v1.1),0
ROW-052,A134,0
ROW-053,Q261,0
ROW-054,Q362,0
ROW-055,A30,0
ROW-056,Q172(v1.1),0
ROW-057,Q216,0
ROW-058,Q176(v1.1),0
ROW-059,A4,0
ROW-060,Q353,0
ROW-061,A18,0
ROW-062,Q385,0
ROW-063,Q26,0
ROW-064,Q310,0
ROW-065,Q145(v1.1),0
ROW-066,A12,0
ROW-067,Q192(v1.1),0
ROW-068,Q1,0
ROW-069,Q323,0
ROW-070,Q201,0
ROW-071,A1,0
ROW-072,A130,0
ROW-073,Q35,0
ROW-074,Q324,0
ROW-075,Q49,0
ROW-076,Q185(v1.1),0
ROW-077,Q10,0
ROW-078,Q85,0
ROW-079,Q73,0
ROW-080,A45,0
ROW-081,Q390,0
