row_code,true_row,is_probe
ROW-001,Q322,0
ROW-002,Q94,0
ROW-003,Q1,0
ROW-004,A147,0
ROW-005,A5,0
ROW-006,A3,0
ROW-007,Q46,0
ROW-008,Q300,0
ROW-009,A127,0
ROW-010,Q254,0
ROW-011,Q304,0
ROW-012,Q225,0
ROW-013,Q64,0
ROW-014,A11,0
ROW-015,Q31,0
ROW-016,Q361,0
ROW-017,A150,0
ROW-018,Q79,0
ROW-019,A9,0
ROW-020,A4,0
ROW-021,A47,0
ROW-022,Q25,0
ROW-023,Q274,0
ROW-024,Q228,0
ROW-025,A145,0
ROW-026,A103,0
ROW-027,Q236,0
ROW-028,Q368,0
ROW-029,Q285,0
ROW-030,Q384,0
ROW-031,Q312,0
ROW-032,A113,0
ROW-033,A139,0
ROW-034,Q329,0
ROW-035,Q13,0
ROW-036,Q229,0
ROW-037,Q14,0
ROW-038,Q8,0
ROW-039,Q48,0
ROW-040,Q278,0
ROW-041,A136,0
ROW-042,Q18,0
ROW-043,Q376,0
ROW-044,Q218,0
ROW-045,A107,0
ROW-046,Q314,0
ROW-047,Q240,0
ROW-048,A117,0
ROW-049,Q96,0
ROW-050,Q100,0
ROW-051,A122,0
ROW-052,Q265,0
ROW-053,Q364,0
ROW-054,Q307,0
ROW-055,Q58,0
ROW-056,Q310,0
ROW-057,Q380,0
ROW-058,Q211,0
ROW-059,Q29,0
ROW-060,Q280,0
ROW-061,A46,0
ROW-062,Q315,0
ROW-063,Q226,0
ROW-064,A8,0
ROW-065,Q366,0
ROW-066,A28,0
ROW-067,Q246,0
ROW-068,Q95,0
ROW-069,Q6,0
ROW-070,Q93,0
ROW-071,Q87,0
ROW-072,A43,0
ROW-073,Q356,0
ROW-074,Q255,0
ROW-075,A21,0
ROW-076,A138,0
ROW-077,Q293,0
ROW-078,Q242,0
ROW-079,Q307,1
ROW-080,A40,0
ROW-081,Q339,0
ROW-082,A126,0
ROW-083,A135,0
ROW-084,A50,0
ROW-085,Q301,0
ROW-086,A12,0
ROW-087,Q325,0
ROW-088,Q59,0
ROW-089,A141,0
ROW-090,Q89,0
ROW-091,Q360,0
ROW-092,Q305,0
ROW-093,Q27,0
ROW-094,Q378,0
ROW-095,A32,0
ROW-096,Q354,0
ROW-097,A48,0
ROW-098,Q324,0
ROW-099,Q273,0
ROW-100,Q205,0
ROW-101,Q349,0
ROW-102,Q99,0
ROW-103,Q353,0
ROW-104,A119,0
ROW-105,Q263,0
ROW-106,A128,0
ROW-107,Q76,0
ROW-108,Q365,0
ROW-109,Q383,0
ROW-110,Q4,0
ROW-111,Q66,0
ROW-112,Q210,0
ROW-113,Q202,0
ROW-114,Q258,0
ROW-115,Q345,0
ROW-116,Q266,0
ROW-117,Q5,0
ROW-118,Q309,0
ROW-119,A148,0
ROW-120,Q23,0
ROW-121,A111,0
ROW-122,Q243,0
ROW-123,Q358,0
ROW-124,Q338,0
ROW-125,Q212,0
ROW-126,Q287,0
ROW-127,Q347,0
ROW-128,A24,0
ROW-129,Q319,0
ROW-130,Q74,0
ROW-131,Q51,0
ROW-132,A112,0
ROW-133,A121,0
ROW-134,Q84,0
ROW-135,Q284,0
ROW-136,A30,0
ROW-137,Q352,0
ROW-138,Q75,0
ROW-139,Q241,0
ROW-140,A27,0
ROW-141,Q222,0
ROW-142,Q286,0
ROW-143,A131,0
ROW-144,Q385,0
ROW-145,Q303,0
ROW-146,Q371,0
ROW-147,A13,0
ROW-148,Q392,0
ROW-149,Q257,0
ROW-150,Q83,0
ROW-151,Q98,0
ROW-152,A39,0
ROW-153,A23,0
ROW-154,Q65,0
ROW-155,Q237,0
ROW-156,Q2,0
ROW-157,Q33,0
ROW-158,Q302,0
ROW-159,A120,0
ROW-160,Q47,0
ROW-161,Q297,0
ROW-162,A144,0
ROW-163,Q15,0
ROW-164,Q245,0
ROW-165,Q244,0
ROW-166,Q346,0
ROW-167,Q283,0
ROW-168,Q42,0
ROW-169,Q295,0
ROW-170,A149,0
ROW-171,Q54,0
ROW-172,Q220,0
ROW-173,A114,0
ROW-174,A125,0
