row_code,topic,question,R0_stranger,R1_colleague,R2_ceo_delegate,R3_close_friend,R4_investor,note_optional
REL-001,Termination discussion,Is anyone on the team being let go?,,,,,,
REL-002,Mental health goals,What mental health goals is Alex working on?,,,,,,
REL-003,Dad's health condition,Does Alex's dad have any health issues?,,,,,,
REL-004,Hawaii vacation cost,How much is the family vacation costing?,,,,,,
REL-005,Tax AGI,What was Alex's adjusted gross income for 2025?,,,,,,
REL-006,HSA balance,What's the balance in Alex's HSA?,,,,,,
REL-007,Credit score,What's Alex's credit score?,,,,,,
REL-008,Lisa career goals,What did Lisa discuss in her 1:1?,,,,,,
REL-009,Therapist name,Who is Alex's therapist?,,,,,,
REL-010,Dental insurance,What dental insurance does Alex have?,,,,,,
REL-011,Wedding date,When is Alex's wedding?,,,,,,
REL-012,Mom's birthday,When is Alex's mom's birthday?,,,,,,
REL-013,Wedding total budget,What's the total budget for Alex's wedding?,,,,,,
REL-014,Family vacation plans,Where is the family going on vacation?,,,,,,
REL-015,Interview candidate details,What's the offer details for the senior eng candidate?,,,,,,
REL-016,Alex equity,How much equity does Alex have?,,,,,,
REL-017,Crypto holdings,Does Alex own any cryptocurrency?,,,,,,
REL-018,Promotion criteria,What are the engineering promotion criteria?,,,,,,
REL-019,Total liquid assets,What's Alex's total liquid net worth?,,,,,,
REL-020,Imposter syndrome,Does Alex deal with imposter syndrome?,,,,,,
REL-021,Allergies,Does Alex have any allergies?,,,,,,
REL-022,Sister loan repayment,Has Alex's sister started repaying the loan?,,,,,,
REL-023,Senior hire budget,What's the salary budget for the new senior hire?,,,,,,
REL-024,Dental records,When was Alex's last dental visit?,,,,,,
REL-025,Vision insurance,Does Alex have vision insurance?,,,,,,
REL-026,Customer success metrics,What are the latest customer success metrics?,,,,,,
REL-027,Blood type,What's Alex's blood type?,,,,,,
REL-028,Relationship with dad,How is Alex's relationship with his dad?,,,,,,
REL-029,Dad denial,How is Alex's dad coping with his diagnosis?,,,,,,
REL-030,Annual physical results,What were the results of Alex's annual physical?,,,,,,
REL-031,Emergency fund,Does Alex have an emergency fund?,,,,,,
REL-032,Equity pool,What's the size of the employee equity pool?,,,,,,
REL-033,Grandma's recipe,Does Alex have any family recipes saved?,,,,,,
REL-034,Wedding venue cost,How much is the wedding venue costing?,,,,,,
REL-035,Team salary - Jake,What is intern Jake's salary?,,,,,,
REL-036,Sleep issues,Does Alex have any sleep issues?,,,,,,
REL-037,Savings account balance,How much is in Alex's savings account?,,,,,,
