row_code,true_question_id,is_duplicate
REL-001,146,0
REL-002,159,0
REL-003,133,0
REL-004,122,0
REL-005,140,0
REL-006,178,0
REL-007,130,0
REL-008,154,0
REL-009,115,0
REL-010,121,0
REL-011,164,0
REL-012,109,0
REL-013,103,0
REL-014,135,0
REL-015,142,0
REL-016,114,0
REL-017,134,0
REL-018,108,0
REL-019,175,1
REL-020,179,0
REL-021,176,0
REL-022,155,0
REL-023,160,0
REL-024,181,0
REL-025,163,0
REL-026,101,0
REL-027,194,0
REL-028,117,0
REL-029,174,0
REL-030,129,0
REL-031,137,0
REL-032,199,0
REL-033,127,0
REL-034,172,0
REL-035,142,1
REL-036,198,0
REL-037,147,0
REL-038,184,0
REL-039,152,0
REL-040,112,0
REL-041,161,0
REL-042,145,0
REL-043,187,0
REL-044,185,0
REL-045,110,0
REL-046,158,0
REL-047,175,0
REL-048,195,0
REL-049,200,0
REL-050,157,0
REL-051,116,0
REL-052,107,0
REL-053,192,0
REL-054,180,0
REL-055,119,0
REL-056,118,0
REL-057,186,0
REL-058,136,0
REL-059,141,0
REL-060,173,0
REL-061,123,0
REL-062,189,0
REL-063,168,0
REL-064,104,0
REL-065,171,0
REL-066,164,1
REL-067,149,0
REL-068,150,0
REL-069,191,0
REL-070,105,0
REL-071,138,0
REL-072,169,0
REL-073,177,0
REL-074,163,1
REL-075,193,0
REL-076,166,0
REL-077,120,0
REL-078,170,0
REL-079,144,0
REL-080,174,1
REL-081,132,0
REL-082,151,0
REL-083,128,0
REL-084,126,0
REL-085,124,0
REL-086,106,0
REL-087,183,0
REL-088,182,0
REL-089,167,0
REL-090,111,1
REL-091,143,0
REL-092,197,0
REL-093,139,0
REL-094,188,1
REL-095,190,0
REL-096,102,0
REL-097,148,0
REL-098,131,0
REL-099,162,0
REL-100,165,0
REL-101,170,1
REL-102,196,0
REL-103,184,1
REL-104,156,0
REL-105,111,0
REL-106,188,0
REL-107,153,0
REL-108,117,1
REL-109,113,0
