row_code,true_action_id,is_duplicate
ACT-001,85,0
ACT-002,38,0
ACT-003,54,0
ACT-004,136,0
ACT-005,181,0
ACT-006,195,0
ACT-007,99,0
ACT-008,111,0
ACT-009,65,0
ACT-010,180,0
ACT-011,40,0
ACT-012,81,0
ACT-013,185,0
ACT-014,101,0
ACT-015,115,0
ACT-016,128,0
ACT-017,100,0
ACT-018,163,0
ACT-019,78,0
ACT-020,26,0
ACT-021,44,0
ACT-022,91,1
ACT-023,23,0
ACT-024,74,0
ACT-025,155,0
ACT-026,30,0
ACT-027,172,0
ACT-028,39,0
ACT-029,2,0
ACT-030,175,0
ACT-031,13,0
ACT-032,79,0
ACT-033,7,0
ACT-034,131,0
ACT-035,32,0
ACT-036,194,0
ACT-037,188,0
ACT-038,82,0
ACT-039,80,0
ACT-040,106,0
ACT-041,145,0
ACT-042,139,0
ACT-043,113,0
ACT-044,144,0
ACT-045,66,0
ACT-046,43,0
ACT-047,41,0
ACT-048,193,0
ACT-049,62,0
ACT-050,168,0
ACT-051,92,0
ACT-052,198,0
ACT-053,169,0
ACT-054,118,0
ACT-055,189,0
ACT-056,129,0
ACT-057,76,0
ACT-058,50,0
ACT-059,197,0
ACT-060,183,0
ACT-061,93,0
ACT-062,58,0
ACT-063,170,0
ACT-064,162,0
ACT-065,125,0
ACT-066,42,0
ACT-067,48,0
ACT-068,110,1
ACT-069,88,0
ACT-070,94,0
ACT-071,70,0
ACT-072,179,0
ACT-073,16,0
ACT-074,187,0
ACT-075,35,0
ACT-076,142,0
ACT-077,53,0
ACT-078,150,0
ACT-079,71,0
ACT-080,110,0
ACT-081,184,0
ACT-082,158,0
ACT-083,84,0
ACT-084,195,1
ACT-085,146,0
ACT-086,119,0
ACT-087,152,0
ACT-088,10,0
ACT-089,121,0
ACT-090,141,0
ACT-091,15,0
ACT-092,148,0
ACT-093,72,0
ACT-094,4,0
ACT-095,159,0
ACT-096,156,0
ACT-097,69,0
ACT-098,29,0
ACT-099,28,0
ACT-100,107,0
ACT-101,22,0
ACT-102,134,0
ACT-103,60,0
ACT-104,171,0
ACT-105,102,0
ACT-106,103,0
ACT-107,105,0
ACT-108,173,0
ACT-109,1,0
ACT-110,95,0
ACT-111,63,0
ACT-112,135,0
ACT-113,109,0
ACT-114,149,0
ACT-115,3,0
ACT-116,120,0
ACT-117,57,0
ACT-118,20,0
ACT-119,122,0
ACT-120,37,0
ACT-121,49,0
ACT-122,116,0
ACT-123,138,0
ACT-124,91,0
ACT-125,51,0
ACT-126,101,1
ACT-127,75,0
ACT-128,182,0
ACT-129,140,0
ACT-130,164,0
ACT-131,196,0
ACT-132,167,0
ACT-133,86,0
ACT-134,137,0
ACT-135,133,0
ACT-136,123,0
ACT-137,9,0
ACT-138,108,0
ACT-139,47,0
ACT-140,176,0
ACT-141,178,0
ACT-142,130,0
ACT-143,172,1
ACT-144,160,0
ACT-145,68,0
ACT-146,174,0
ACT-147,56,0
ACT-148,104,0
ACT-149,17,0
ACT-150,200,1
ACT-151,21,0
ACT-152,33,0
ACT-153,12,0
ACT-154,45,0
ACT-155,59,0
ACT-156,14,0
ACT-157,83,0
ACT-158,87,0
ACT-159,112,0
ACT-160,73,0
ACT-161,166,0
ACT-162,161,0
ACT-163,18,0
ACT-164,96,0
ACT-165,132,0
ACT-166,124,0
ACT-167,36,0
ACT-168,120,1
ACT-169,97,0
ACT-170,5,0
ACT-171,191,0
ACT-172,46,0
ACT-173,17,1
ACT-174,199,0
ACT-175,177,0
ACT-176,43,1
ACT-177,117,0
ACT-178,19,0
ACT-179,77,0
ACT-180,190,0
ACT-181,127,0
ACT-182,52,0
ACT-183,114,0
ACT-184,98,0
ACT-185,151,0
ACT-186,26,1
ACT-187,147,0
ACT-188,90,0
ACT-189,143,0
ACT-190,27,0
ACT-191,31,0
ACT-192,34,0
ACT-193,192,0
ACT-194,25,0
ACT-195,165,0
ACT-196,89,0
ACT-197,64,0
ACT-198,6,0
ACT-199,186,0
ACT-200,61,0
ACT-201,157,0
ACT-202,67,0
ACT-203,153,0
ACT-204,200,0
ACT-205,8,0
ACT-206,55,0
ACT-207,154,0
ACT-208,126,0
ACT-209,11,0
ACT-210,24,0
