row_code,true_question_id,is_duplicate
QA-001,331,0
QA-002,249,0
QA-003,28,0
QA-004,238,0
QA-005,363,0
QA-006,364,0
QA-007,77,0
QA-008,250,0
QA-009,2,0
QA-010,133,0
QA-011,122,0
QA-012,283,0
QA-013,280,0
QA-014,42,0
QA-015,15,0
QA-016,31,0
QA-017,322,0
QA-018,232,0
QA-019,354,0
QA-020,343,0
QA-021,236,0
QA-022,83,1
QA-023,380,0
QA-024,201,0
QA-025,281,0
QA-026,91,0
QA-027,33,0
QA-028,206,0
QA-029,162,0
QA-030,100,0
QA-031,43,0
QA-032,316,0
QA-033,390,0
QA-034,143,0
QA-035,310,0
QA-036,195,0
QA-037,328,0
QA-038,196,0
QA-039,99,0
QA-040,164,0
QA-041,338,0
QA-042,47,0
QA-043,230,0
QA-044,374,0
QA-045,137,0
QA-046,119,0
QA-047,274,0
QA-048,62,0
QA-049,198,0
QA-050,87,0
QA-051,14,0
QA-052,174,0
QA-053,97,0
QA-054,305,0
QA-055,50,0
QA-056,397,1
QA-057,290,0
QA-058,111,0
QA-059,356,0
QA-060,339,0
QA-061,102,0
QA-062,370,1
QA-063,181,0
QA-064,227,0
QA-065,399,0
QA-066,170,0
QA-067,321,0
QA-068,126,0
QA-069,265,0
QA-070,96,0
QA-071,106,0
QA-072,264,0
QA-073,378,1
QA-074,92,0
QA-075,156,0
QA-076,27,0
QA-077,379,0
QA-078,263,0
QA-079,182,0
QA-080,70,0
QA-081,319,0
QA-082,285,1
QA-083,157,0
QA-084,296,0
QA-085,219,0
QA-086,324,0
QA-087,221,0
QA-088,192,0
QA-089,228,0
QA-090,139,0
QA-091,134,0
QA-092,361,0
QA-093,123,0
QA-094,317,0
QA-095,82,0
QA-096,52,0
QA-097,218,0
QA-098,19,0
QA-099,389,0
QA-100,93,0
QA-101,346,0
QA-102,163,0
QA-103,190,0
QA-104,184,0
QA-105,125,0
QA-106,268,0
QA-107,286,0
QA-108,242,0
QA-109,312,1
QA-110,89,0
QA-111,34,0
QA-112,49,0
QA-113,121,0
QA-114,382,0
QA-115,207,0
QA-116,395,0
QA-117,189,0
QA-118,115,0
QA-119,226,0
QA-120,18,0
QA-121,357,0
QA-122,298,0
QA-123,215,0
QA-124,131,0
QA-125,362,0
QA-126,78,0
QA-127,239,0
QA-128,392,0
QA-129,375,0
QA-130,367,0
QA-131,253,0
QA-132,208,0
QA-133,8,0
QA-134,167,0
QA-135,53,0
QA-136,396,0
QA-137,205,0
QA-138,37,0
QA-139,398,0
QA-140,277,0
QA-141,12,0
QA-142,240,0
QA-143,275,0
QA-144,132,0
QA-145,179,0
QA-146,203,0
QA-147,194,1
QA-148,31,1
QA-149,110,0
QA-150,180,0
QA-151,1,0
QA-152,68,0
QA-153,318,0
QA-154,44,0
QA-155,142,0
QA-156,273,0
QA-157,173,0
QA-158,288,0
QA-159,95,0
QA-160,345,0
QA-161,252,0
QA-162,165,0
QA-163,337,0
QA-164,233,0
QA-165,86,0
QA-166,175,0
QA-167,171,0
QA-168,16,1
QA-169,38,0
QA-170,98,0
QA-171,80,0
QA-172,152,0
QA-173,120,0
QA-174,371,0
QA-175,104,0
QA-176,387,0
QA-177,262,0
QA-178,244,0
QA-179,291,0
QA-180,72,0
QA-181,241,0
QA-182,160,0
QA-183,108,0
QA-184,397,0
QA-185,248,0
QA-186,32,0
QA-187,350,0
QA-188,344,0
QA-189,136,0
QA-190,88,0
QA-191,210,0
QA-192,24,0
QA-193,293,1
QA-194,368,0
QA-195,107,0
QA-196,272,0
QA-197,9,0
QA-198,391,0
QA-199,130,0
QA-200,254,0
QA-201,214,0
QA-202,177,0
QA-203,261,0
QA-204,295,0
QA-205,258,0
QA-206,284,0
QA-207,47,1
QA-208,360,0
QA-209,341,0
QA-210,114,0
QA-211,279,0
QA-212,112,0
QA-213,333,0
QA-214,292,0
QA-215,297,0
QA-216,266,0
QA-217,394,0
QA-218,270,0
QA-219,366,0
QA-220,150,0
QA-221,383,0
QA-222,187,0
QA-223,101,0
QA-224,359,0
QA-225,377,0
QA-226,267,0
QA-227,5,0
QA-228,63,0
QA-229,193,0
QA-230,192,1
QA-231,26,1
QA-232,388,0
QA-233,154,0
QA-234,23,0
QA-235,66,0
QA-236,10,0
QA-237,64,0
QA-238,332,0
QA-239,199,0
QA-240,169,0
QA-241,352,0
QA-242,40,0
QA-243,200,0
QA-244,6,0
QA-245,278,0
QA-246,385,0
QA-247,340,0
QA-248,161,0
QA-249,259,0
QA-250,202,0
QA-251,79,0
QA-252,373,0
QA-253,83,0
QA-254,289,0
QA-255,342,0
QA-256,168,0
QA-257,299,0
QA-258,217,0
QA-259,329,0
QA-260,225,0
QA-261,29,0
QA-262,335,0
QA-263,347,0
QA-264,186,0
QA-265,289,1
QA-266,147,0
QA-267,381,0
QA-268,303,0
QA-269,127,0
QA-270,84,0
QA-271,330,0
QA-272,73,0
QA-273,323,0
QA-274,145,0
QA-275,59,0
QA-276,109,0
QA-277,209,0
QA-278,390,1
QA-279,309,0
QA-280,213,0
QA-281,294,0
QA-282,172,0
QA-283,185,0
QA-284,117,0
QA-285,60,0
QA-286,300,0
QA-287,336,0
QA-288,355,0
QA-289,148,0
QA-290,216,0
QA-291,386,0
QA-292,327,0
QA-293,56,0
QA-294,36,0
QA-295,41,0
QA-296,351,0
QA-297,54,0
QA-298,320,0
QA-299,370,0
QA-300,256,0
QA-301,358,0
QA-302,183,0
QA-303,372,0
QA-304,285,0
QA-305,30,0
QA-306,94,0
QA-307,51,0
QA-308,81,0
QA-309,105,0
QA-310,55,0
QA-311,103,0
QA-312,71,0
QA-313,246,0
QA-314,166,0
QA-315,353,0
QA-316,325,0
QA-317,269,0
QA-318,128,0
QA-319,74,0
QA-320,188,0
QA-321,57,0
QA-322,302,0
QA-323,75,0
QA-324,141,0
QA-325,209,1
QA-326,113,0
QA-327,61,0
QA-328,90,0
QA-329,237,0
QA-330,176,0
QA-331,276,0
QA-332,287,0
QA-333,384,0
QA-334,282,0
QA-335,135,0
QA-336,48,0
QA-337,4,0
QA-338,153,0
QA-339,158,0
QA-340,138,0
QA-341,204,0
QA-342,76,0
QA-343,311,0
QA-344,194,0
QA-345,211,0
QA-346,313,0
QA-347,159,0
QA-348,326,0
QA-349,16,0
QA-350,46,0
QA-351,206,1
QA-352,271,0
QA-353,102,1
QA-354,235,0
QA-355,224,0
QA-356,140,0
QA-357,220,0
QA-358,229,0
QA-359,260,0
QA-360,307,0
QA-361,348,0
QA-362,212,0
QA-363,369,0
QA-364,146,0
QA-365,304,0
QA-366,21,0
QA-367,306,0
QA-368,178,0
QA-369,376,0
QA-370,378,0
QA-371,3,0
QA-372,39,0
QA-373,197,0
QA-374,7,0
QA-375,234,0
QA-376,315,0
QA-377,231,0
QA-378,22,0
QA-379,251,0
QA-380,144,0
QA-381,255,0
QA-382,301,0
QA-383,25,0
QA-384,20,0
QA-385,35,0
QA-386,45,0
QA-387,58,0
QA-388,247,0
QA-389,124,0
QA-390,400,0
QA-391,293,0
QA-392,116,0
QA-393,69,0
QA-394,65,0
QA-395,26,0
QA-396,149,0
QA-397,191,0
QA-398,243,0
QA-399,151,0
QA-400,400,1
QA-401,245,0
QA-402,257,0
QA-403,17,0
QA-404,334,0
QA-405,67,0
QA-406,349,0
QA-407,333,1
QA-408,11,0
QA-409,312,0
QA-410,222,0
QA-411,308,0
QA-412,365,0
QA-413,85,0
QA-414,223,0
QA-415,314,0
QA-416,118,0
QA-417,129,0
QA-418,393,0
QA-419,13,0
QA-420,155,0
