row_code,true_question_id,is_duplicate
REL-001,102,0
REL-002,166,0
REL-003,119,0
REL-004,112,0
REL-005,164,0
REL-006,155,0
REL-007,126,0
REL-008,174,1
REL-009,147,0
REL-010,140,0
REL-011,145,0
REL-012,173,0
REL-013,123,0
REL-014,187,0
REL-015,131,0
REL-016,144,0
REL-017,111,1
REL-018,188,0
REL-019,178,0
REL-020,194,0
REL-021,106,0
REL-022,157,0
REL-023,121,0
REL-024,137,0
REL-025,146,0
REL-026,141,0
REL-027,129,0
REL-028,179,0
REL-029,107,0
REL-030,200,0
REL-031,191,0
REL-032,117,1
REL-033,142,1
REL-034,180,0
REL-035,177,0
REL-036,114,0
REL-037,193,0
REL-038,135,0
REL-039,151,0
REL-040,188,1
REL-041,132,0
REL-042,128,0
REL-043,154,0
REL-044,162,0
REL-045,195,0
REL-046,175,1
REL-047,185,0
REL-048,170,1
REL-049,190,0
REL-050,109,0
REL-051,103,0
REL-052,124,0
REL-053,105,0
REL-054,183,0
REL-055,163,1
REL-056,139,0
REL-057,158,0
REL-058,117,0
REL-059,133,0
REL-060,118,0
REL-061,182,0
REL-062,116,0
REL-063,104,0
REL-064,196,0
REL-065,175,0
REL-066,199,0
REL-067,127,0
REL-068,164,1
REL-069,172,0
REL-070,181,0
REL-071,130,0
REL-072,113,0
REL-073,110,0
REL-074,101,0
REL-075,115,0
REL-076,111,0
REL-077,153,0
REL-078,169,0
REL-079,186,0
REL-080,163,0
REL-081,142,0
REL-082,165,0
REL-083,152,0
REL-084,184,0
REL-085,167,0
REL-086,176,0
REL-087,122,0
REL-088,197,0
REL-089,138,0
REL-090,156,0
REL-091,120,0
REL-092,189,0
REL-093,150,0
REL-094,174,0
REL-095,170,0
REL-096,148,0
REL-097,168,0
REL-098,108,0
REL-099,161,0
REL-100,171,0
REL-101,192,0
REL-102,149,0
REL-103,159,0
REL-104,143,0
REL-105,136,0
REL-106,134,0
REL-107,160,0
REL-108,184,1
REL-109,198,0
