row_code,true_question_id,is_duplicate
REL-001,118,0
REL-002,163,0
REL-003,107,0
REL-004,142,0
REL-005,126,0
REL-006,175,1
REL-007,156,0
REL-008,161,0
REL-009,133,0
REL-010,102,0
REL-011,128,0
REL-012,184,0
REL-013,135,0
REL-014,168,0
REL-015,148,0
REL-016,145,0
REL-017,174,0
REL-018,193,0
REL-019,154,0
REL-020,106,0
REL-021,171,0
REL-022,140,0
REL-023,191,0
REL-024,149,0
REL-025,110,0
REL-026,162,0
REL-027,117,1
REL-028,188,1
REL-029,158,0
REL-030,190,0
REL-031,159,0
REL-032,120,0
REL-033,153,0
REL-034,136,0
REL-035,105,0
REL-036,103,0
REL-037,111,0
REL-038,179,0
REL-039,185,0
REL-040,130,0
REL-041,129,0
REL-042,198,0
REL-043,112,0
REL-044,181,0
REL-045,104,0
REL-046,170,1
REL-047,194,0
REL-048,189,0
REL-049,164,1
REL-050,187,0
REL-051,199,0
REL-052,172,0
REL-053,127,0
REL-054,173,0
REL-055,132,0
REL-056,137,0
REL-057,178,0
REL-058,109,0
REL-059,182,0
REL-060,117,0
REL-061,111,1
REL-062,195,0
REL-063,123,0
REL-064,155,0
REL-065,116,0
REL-066,138,0
REL-067,150,0
REL-068,167,0
REL-069,164,0
REL-070,166,0
REL-071,170,0
REL-072,192,0
REL-073,183,0
REL-074,147,0
REL-075,115,0
REL-076,143,0
REL-077,108,0
REL-078,134,0
REL-079,174,1
REL-080,163,1
REL-081,188,0
REL-082,124,0
REL-083,131,0
REL-084,165,0
REL-085,160,0
REL-086,151,0
REL-087,180,0
REL-088,157,0
REL-089,196,0
REL-090,197,0
REL-091,152,0
REL-092,186,0
REL-093,113,0
REL-094,119,0
REL-095,122,0
REL-096,184,1
REL-097,121,0
REL-098,139,0
REL-099,144,0
REL-100,175,0
REL-101,200,0
REL-102,169,0
REL-103,141,0
REL-104,101,0
REL-105,114,0
REL-106,142,1
REL-107,176,0
REL-108,146,0
REL-109,177,0
