row,requester,kind,category,ai_label,conf,route
Q1,R0,qa,work_public,P,0.90,audit_pool
Q1,R1,qa,work_public,L,0.95,audit_pool
Q1,R2,qa,work_public,L,0.90,audit_pool
Q1,R3,qa,work_public,B,0.70,adjudicate_1
Q1,R4,qa,work_public,L,0.90,audit_pool
Q2,R0,qa,work_public,P,0.95,audit_pool
Q2,R1,qa,work_public,L,0.90,audit_pool
Q2,R2,qa,work_public,L,0.90,audit_pool
Q2,R3,qa,work_public,P,0.85,audit_pool
Q2,R4,qa,work_public,L,0.85,audit_pool
Q3,R0,qa,work_public,P,0.90,audit_pool
Q3,R1,qa,work_public,L,0.95,audit_pool
Q3,R2,qa,work_public,L,0.90,audit_pool
Q3,R3,qa,work_public,B,0.70,adjudicate_1
Q3,R4,qa,work_public,L,0.85,audit_pool
Q4,R0,qa,work_public,P,0.90,audit_pool
Q4,R1,qa,work_public,L,0.95,audit_pool
Q4,R2,qa,work_public,L,0.85,audit_pool
Q4,R3,qa,work_public,P,0.70,adjudicate_1
Q4,R4,qa,work_public,L,0.90,audit_pool
Q5,R0,qa,work_public,P,0.65,adjudicate_1
Q5,R1,qa,work_public,L,0.95,audit_pool
Q5,R2,qa,work_public,L,0.85,audit_pool
Q5,R3,qa,work_public,B,0.70,adjudicate_1
Q5,R4,qa,work_public,L,0.80,audit_pool
Q6,R0,qa,work_public,P,0.95,audit_pool
Q6,R1,qa,work_public,L,0.80,audit_pool
Q6,R2,qa,work_public,L,0.90,audit_pool
Q6,R3,qa,work_public,P,0.85,audit_pool
Q6,R4,qa,work_public,L,0.90,audit_pool
Q7,R0,qa,work_public,P,0.95,audit_pool
Q7,R1,qa,work_public,L,0.85,audit_pool
Q7,R2,qa,work_public,L,0.85,audit_pool
Q7,R3,qa,work_public,P,0.80,audit_pool
Q7,R4,qa,work_public,L,0.90,audit_pool
Q8,R0,qa,work_public,P,0.95,audit_pool
Q8,R1,qa,work_public,L,0.90,audit_pool
Q8,R2,qa,work_public,L,0.90,audit_pool
Q8,R3,qa,work_public,P,0.75,adjudicate_1
Q8,R4,qa,work_public,L,0.90,audit_pool
Q9,R0,qa,work_public,B,0.55,double_label
Q9,R1,qa,work_public,L,0.95,audit_pool
Q9,R2,qa,work_public,L,0.90,audit_pool
Q9,R3,qa,work_public,B,0.60,adjudicate_1
Q9,R4,qa,work_public,L,0.95,audit_pool
Q10,R0,qa,work_public,P,0.70,adjudicate_1
Q10,R1,qa,work_public,L,0.90,audit_pool
Q10,R2,qa,work_public,L,0.90,audit_pool
Q10,R3,qa,work_public,B,0.65,adjudicate_1
Q10,R4,qa,work_public,L,0.95,audit_pool
Q11,R0,qa,work_public,P,0.95,audit_pool
Q11,R1,qa,work_public,L,0.85,audit_pool
Q11,R2,qa,work_public,L,0.90,audit_pool
Q11,R3,qa,work_public,B,0.70,adjudicate_1
Q11,R4,qa,work_public,L,0.85,audit_pool
Q12,R0,qa,work_public,L,0.70,adjudicate_1
Q12,R1,qa,work_public,L,0.95,audit_pool
Q12,R2,qa,work_public,L,0.90,audit_pool
Q12,R3,qa,work_public,L,0.75,adjudicate_1
Q12,R4,qa,work_public,L,0.90,audit_pool
Q13,R0,qa,work_public,L,0.70,adjudicate_1
Q13,R1,qa,work_public,L,0.95,audit_pool
Q13,R2,qa,work_public,L,0.90,audit_pool
Q13,R3,qa,work_public,L,0.75,adjudicate_1
Q13,R4,qa,work_public,L,0.90,audit_pool
Q14,R0,qa,work_public,P,0.95,audit_pool
Q14,R1,qa,work_public,L,0.80,audit_pool
Q14,R2,qa,work_public,L,0.85,audit_pool
Q14,R3,qa,work_public,P,0.90,audit_pool
Q14,R4,qa,work_public,L,0.75,adjudicate_1
Q15,R0,qa,work_public,P,0.80,audit_pool
Q15,R1,qa,work_public,L,0.90,audit_pool
Q15,R2,qa,work_public,L,0.80,audit_pool
Q15,R3,qa,work_public,B,0.60,adjudicate_1
Q15,R4,qa,work_public,L,0.75,adjudicate_1
Q16,R0,qa,work_public,P,0.95,audit_pool
Q16,R1,qa,work_public,L,0.80,audit_pool
Q16,R2,qa,work_public,L,0.85,audit_pool
Q16,R3,qa,work_public,P,0.75,adjudicate_1
Q16,R4,qa,work_public,L,0.90,audit_pool
Q17,R0,qa,work_public,P,0.90,audit_pool
Q17,R1,qa,work_public,L,0.85,audit_pool
Q17,R2,qa,work_public,L,0.80,audit_pool
Q17,R3,qa,work_public,B,0.70,adjudicate_1
Q17,R4,qa,work_public,L,0.70,adjudicate_1
Q18,R0,qa,work_public,P,0.90,audit_pool
Q18,R1,qa,work_public,L,0.95,audit_pool
Q18,R2,qa,work_public,L,0.80,audit_pool
Q18,R3,qa,work_public,B,0.55,double_label
Q18,R4,qa,work_public,L,0.70,adjudicate_1
Q19,R0,qa,work_public,P,0.90,audit_pool
Q19,R1,qa,work_public,B,0.60,adjudicate_1
Q19,R2,qa,work_public,L,0.90,audit_pool
Q19,R3,qa,work_public,B,0.60,adjudicate_1
Q19,R4,qa,work_public,L,0.90,audit_pool
Q20,R0,qa,work_public,P,0.95,audit_pool
Q20,R1,qa,work_public,B,0.60,adjudicate_1
Q20,R2,qa,work_public,L,0.90,audit_pool
Q20,R3,qa,work_public,P,0.85,audit_pool
Q20,R4,qa,work_public,L,0.90,audit_pool
Q21,R0,qa,work_public,P,0.95,audit_pool
Q21,R1,qa,work_public,B,0.60,adjudicate_1
Q21,R2,qa,work_public,L,0.85,audit_pool
Q21,R3,qa,work_public,P,0.90,audit_pool
Q21,R4,qa,work_public,L,0.95,audit_pool
Q22,R0,qa,work_public,P,0.95,audit_pool
Q22,R1,qa,work_public,L,0.90,audit_pool
Q22,R2,qa,work_public,L,0.90,audit_pool
Q22,R3,qa,work_public,P,0.80,audit_pool
Q22,R4,qa,work_public,L,0.85,audit_pool
Q23,R0,qa,work_public,P,0.90,audit_pool
Q23,R1,qa,work_public,L,0.95,audit_pool
Q23,R2,qa,work_public,L,0.90,audit_pool
Q23,R3,qa,work_public,B,0.70,adjudicate_1
Q23,R4,qa,work_public,L,0.85,audit_pool
Q24,R0,qa,work_public,P,0.90,audit_pool
Q24,R1,qa,work_public,L,0.95,audit_pool
Q24,R2,qa,work_public,L,0.85,audit_pool
Q24,R3,qa,work_public,B,0.70,adjudicate_1
Q24,R4,qa,work_public,L,0.70,adjudicate_1
Q25,R0,qa,work_public,P,0.95,audit_pool
Q25,R1,qa,work_public,L,0.90,audit_pool
Q25,R2,qa,work_public,L,0.85,audit_pool
Q25,R3,qa,work_public,P,0.90,audit_pool
Q25,R4,qa,work_public,L,0.85,audit_pool
Q26,R0,qa,work_public,P,0.95,audit_pool
Q26,R1,qa,work_public,L,0.85,audit_pool
Q26,R2,qa,work_public,L,0.80,audit_pool
Q26,R3,qa,work_public,P,0.85,audit_pool
Q26,R4,qa,work_public,L,0.70,adjudicate_1
Q27,R0,qa,work_public,P,0.90,audit_pool
Q27,R1,qa,work_public,L,0.85,audit_pool
Q27,R2,qa,work_public,L,0.85,audit_pool
Q27,R3,qa,work_public,P,0.80,audit_pool
Q27,R4,qa,work_public,L,0.85,audit_pool
Q28,R0,qa,work_public,P,0.55,double_label
Q28,R1,qa,work_public,L,0.95,audit_pool
Q28,R2,qa,work_public,L,0.95,audit_pool
Q28,R3,qa,work_public,L,0.85,audit_pool
Q28,R4,qa,work_public,L,0.80,audit_pool
Q29,R0,qa,work_public,P,0.65,adjudicate_1
Q29,R1,qa,work_public,L,0.90,audit_pool
Q29,R2,qa,work_public,L,0.90,audit_pool
Q29,R3,qa,work_public,L,0.85,audit_pool
Q29,R4,qa,work_public,L,0.85,audit_pool
Q30,R0,qa,work_public,P,0.60,adjudicate_1
Q30,R1,qa,work_public,L,0.95,audit_pool
Q30,R2,qa,work_public,L,0.95,audit_pool
Q30,R3,qa,work_public,L,0.90,audit_pool
Q30,R4,qa,work_public,L,0.90,audit_pool
Q31,R0,qa,work_public,L,0.90,audit_pool
Q31,R1,qa,work_public,L,0.95,audit_pool
Q31,R2,qa,work_public,L,0.95,audit_pool
Q31,R3,qa,work_public,L,0.95,audit_pool
Q31,R4,qa,work_public,L,0.95,audit_pool
Q32,R0,qa,work_public,L,0.85,audit_pool
Q32,R1,qa,work_public,L,0.95,audit_pool
Q32,R2,qa,work_public,L,0.95,audit_pool
Q32,R3,qa,work_public,L,0.90,audit_pool
Q32,R4,qa,work_public,L,0.90,audit_pool
Q33,R0,qa,work_public,P,0.75,adjudicate_1
Q33,R1,qa,work_public,L,0.85,audit_pool
Q33,R2,qa,work_public,L,0.80,audit_pool
Q33,R3,qa,work_public,P,0.55,double_label
Q33,R4,qa,work_public,L,0.80,audit_pool
Q34,R0,qa,work_public,L,0.85,audit_pool
Q34,R1,qa,work_public,L,0.95,audit_pool
Q34,R2,qa,work_public,L,0.95,audit_pool
Q34,R3,qa,work_public,L,0.90,audit_pool
Q34,R4,qa,work_public,L,0.95,audit_pool
Q35,R0,qa,work_public,P,0.90,audit_pool
Q35,R1,qa,work_public,B,0.55,double_label
Q35,R2,qa,work_public,L,0.75,adjudicate_1
Q35,R3,qa,work_public,P,0.80,audit_pool
Q35,R4,qa,work_public,B,0.50,double_label
Q36,R0,qa,work_public,P,0.95,audit_pool
Q36,R1,qa,work_public,P,0.65,adjudicate_1
Q36,R2,qa,work_public,L,0.85,audit_pool
Q36,R3,qa,work_public,P,0.75,adjudicate_1
Q36,R4,qa,work_public,L,0.90,audit_pool
Q37,R0,qa,work_public,P,0.90,audit_pool
Q37,R1,qa,work_public,L,0.90,audit_pool
Q37,R2,qa,work_public,L,0.90,audit_pool
Q37,R3,qa,work_public,B,0.70,adjudicate_1
Q37,R4,qa,work_public,L,0.80,audit_pool
Q38,R0,qa,work_public,P,0.60,adjudicate_1
Q38,R1,qa,work_public,L,0.90,audit_pool
Q38,R2,qa,work_public,L,0.90,audit_pool
Q38,R3,qa,work_public,L,0.65,adjudicate_1
Q38,R4,qa,work_public,L,0.70,adjudicate_1
Q39,R0,qa,work_public,P,0.80,audit_pool
Q39,R1,qa,work_public,L,0.90,audit_pool
Q39,R2,qa,work_public,L,0.90,audit_pool
Q39,R3,qa,work_public,P,0.75,adjudicate_1
Q39,R4,qa,work_public,L,0.90,audit_pool
Q40,R0,qa,work_public,P,0.95,audit_pool
Q40,R1,qa,work_public,L,0.85,audit_pool
Q40,R2,qa,work_public,L,0.90,audit_pool
Q40,R3,qa,work_public,P,0.85,audit_pool
Q40,R4,qa,work_public,L,0.90,audit_pool
Q41,R0,qa,work_public,P,0.95,audit_pool
Q41,R1,qa,work_public,L,0.85,audit_pool
Q41,R2,qa,work_public,L,0.85,audit_pool
Q41,R3,qa,work_public,P,0.90,audit_pool
Q41,R4,qa,work_public,L,0.95,audit_pool
Q42,R0,qa,work_public,P,0.90,audit_pool
Q42,R1,qa,work_public,L,0.85,audit_pool
Q42,R2,qa,work_public,L,0.85,audit_pool
Q42,R3,qa,work_public,P,0.75,adjudicate_1
Q42,R4,qa,work_public,L,0.90,audit_pool
Q43,R0,qa,work_public,P,0.85,audit_pool
Q43,R1,qa,work_public,L,0.85,audit_pool
Q43,R2,qa,work_public,L,0.85,audit_pool
Q43,R3,qa,work_public,B,0.70,adjudicate_1
Q43,R4,qa,work_public,L,0.90,audit_pool
Q44,R0,qa,work_public,P,0.95,audit_pool
Q44,R1,qa,work_public,L,0.75,adjudicate_1
Q44,R2,qa,work_public,L,0.85,audit_pool
Q44,R3,qa,work_public,P,0.80,audit_pool
Q44,R4,qa,work_public,L,0.90,audit_pool
Q45,R0,qa,work_public,P,0.60,adjudicate_1
Q45,R1,qa,work_public,L,0.90,audit_pool
Q45,R2,qa,work_public,L,0.85,audit_pool
Q45,R3,qa,work_public,L,0.75,adjudicate_1
Q45,R4,qa,work_public,L,0.80,audit_pool
Q46,R0,qa,work_public,P,0.60,adjudicate_1
Q46,R1,qa,work_public,L,0.90,audit_pool
Q46,R2,qa,work_public,L,0.90,audit_pool
Q46,R3,qa,work_public,L,0.85,audit_pool
Q46,R4,qa,work_public,L,0.80,audit_pool
Q47,R0,qa,work_public,L,0.85,audit_pool
Q47,R1,qa,work_public,L,0.95,audit_pool
Q47,R2,qa,work_public,L,0.90,audit_pool
Q47,R3,qa,work_public,L,0.90,audit_pool
Q47,R4,qa,work_public,L,0.95,audit_pool
Q48,R0,qa,work_public,P,0.90,audit_pool
Q48,R1,qa,work_public,L,0.90,audit_pool
Q48,R2,qa,work_public,L,0.90,audit_pool
Q48,R3,qa,work_public,B,0.65,adjudicate_1
Q48,R4,qa,work_public,L,0.90,audit_pool
Q49,R0,qa,work_public,P,0.65,adjudicate_1
Q49,R1,qa,work_public,L,0.90,audit_pool
Q49,R2,qa,work_public,L,0.80,audit_pool
Q49,R3,qa,work_public,B,0.70,adjudicate_1
Q49,R4,qa,work_public,L,0.70,adjudicate_1
Q50,R0,qa,work_public,P,0.90,audit_pool
Q50,R1,qa,work_public,L,0.85,audit_pool
Q50,R2,qa,work_public,L,0.80,audit_pool
Q50,R3,qa,work_public,P,0.80,audit_pool
Q50,R4,qa,work_public,L,0.65,adjudicate_1
Q51,R0,qa,work_public,P,0.90,audit_pool
Q51,R1,qa,work_public,L,0.85,audit_pool
