part,row_code,filed_label
REL,REL-070,PPPPP
REL,REL-053,PPLPP
REL,REL-071,PPPLP
REL,REL-016,PPLPL
REL,REL-026,PLLPL
REL,REL-042,PBPLP
REL,REL-046,PBLPP
REL,REL-047,PBLPL
REL,REL-096,PPPPP
REL,REL-035,PPLPP
ACT,ACT-011,EXECUTE
ACT,ACT-032,REFUSE
ACT,ACT-187,REFUSE
ACT,ACT-105,EXECUTE
ACT,ACT-027,REFUSE
ACT,ACT-104,REFUSE
ACT,ACT-024,EXECUTE
ACT,ACT-171,REFUSE
ACT,ACT-012,REFUSE
ACT,ACT-149,EXECUTE
QA,QA-053,SHARE
QA,QA-129,PROTECT
QA,QA-354,SHARE
QA,QA-338,PROTECT
QA,QA-329,SHARE
QA,QA-047,PROTECT
QA,QA-327,SHARE
QA,QA-317,PROTECT
QA,QA-235,SHARE
QA,QA-044,PROTECT
QA,QA-115,SHARE
QA,QA-040,PROTECT
QA,QA-322,SHARE
QA,QA-083,PROTECT
QA,QA-159,SHARE
QA,QA-226,PROTECT
QA,QA-070,SHARE
QA,QA-300,PROTECT
QA,QA-051,SHARE
QA,QA-324,PROTECT
