row_code,true_row,is_probe
ROW-001,A32,0
ROW-002,Q387,0
ROW-003,Q113(v1.1),0
ROW-004,Q305,1
ROW-005,A106,0
ROW-006,Q69,0
ROW-007,Q293,0
ROW-008,A127,0
ROW-009,Q255,0
ROW-010,A38,1
ROW-011,Q175(v1.1),0
ROW-012,A105,1
ROW-013,Q374,0
ROW-014,A34,0
ROW-015,A11,0
ROW-016,Q160(v1.1),0
ROW-017,Q381,0
ROW-018,A139,0
ROW-019,Q53,0
ROW-020,Q5,0
ROW-021,Q372,0
ROW-022,Q107(v1.1),0
ROW-023,Q158(v1.1),0
ROW-024,Q92,0
ROW-025,Q396,0
ROW-026,Q123(v1.1),0
ROW-027,Q219,0
ROW-028,Q334,0
ROW-029,A135,0
ROW-030,Q103(v1.1),0
ROW-031,A49,0
ROW-032,A31,0
ROW-033,Q271,0
ROW-034,Q264,0
ROW-035,A144,0
ROW-036,A107,0
ROW-037,Q251,0
ROW-038,Q338,0
ROW-039,Q33,0
ROW-040,Q207,0
ROW-041,Q377,0
ROW-042,A143,0
ROW-043,Q74,0
ROW-044,Q248,0
ROW-045,A37,0
ROW-046,Q286,0
ROW-047,Q62,0
ROW-048,Q111(v1.1),0
ROW-049,Q194(v1.1),0
ROW-050,Q156(v1.1),0
ROW-051,Q238,0
ROW-052,Q376,0
ROW-053,A113,0
ROW-054,Q225,0
ROW-055,Q356,0
ROW-056,Q59,0
ROW-057,Q205,0
ROW-058,Q129(v1.1),0
ROW-059,Q357,0
ROW-060,Q88,0
ROW-061,Q23,0
ROW-062,Q169(v1.1),0
ROW-063,Q210,0
ROW-064,Q19,0
ROW-065,A50,0
ROW-066,A5,0
ROW-067,Q8,0
ROW-068,Q88,1
ROW-069,Q43,0
ROW-070,Q206,0
ROW-071,A132,0
ROW-072,Q75,0
ROW-073,Q235,0
ROW-074,Q103(v1.1),1
ROW-075,A38,0
ROW-076,Q288,0
ROW-077,Q305,0
ROW-078,Q326,0
ROW-079,Q237,0
ROW-080,A105,0
ROW-081,Q356,1
ROW-082,Q170(v1.1),0
