row,requester,kind,label,votes,tie
A1,R0,action,REFUSE,REFUSEx5,0
A1,R1,action,EXECUTE,EXECUTEx5,0
A1,R2,action,EXECUTE,EXECUTEx5,0
A1,R3,action,REFUSE,REFUSEx5,0
A1,R4,action,REFUSE,EXECUTEx1/REFUSEx4,0
A10,R0,action,REFUSE,REFUSEx5,0
A10,R1,action,EXECUTE,EXECUTEx5,0
A10,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A10,R3,action,REFUSE,REFUSEx5,0
A10,R4,action,REFUSE,REFUSEx5,0
A101,R0,action,REFUSE,REFUSEx5,0
A101,R1,action,EXECUTE,EXECUTEx5,0
A101,R2,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A101,R3,action,REFUSE,REFUSEx5,0
A101,R4,action,REFUSE,REFUSEx5,0
A102,R0,action,REFUSE,REFUSEx5,0
A102,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A102,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A102,R3,action,REFUSE,REFUSEx5,0
A102,R4,action,REFUSE,REFUSEx5,0
A103,R0,action,REFUSE,REFUSEx5,0
A103,R1,action,EXECUTE,EXECUTEx5,0
A103,R2,action,EXECUTE,EXECUTEx5,0
A103,R3,action,REFUSE,REFUSEx5,0
A103,R4,action,REFUSE,REFUSEx5,0
A104,R0,action,REFUSE,REFUSEx5,0
A104,R1,action,EXECUTE,EXECUTEx5,0
A104,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A104,R3,action,REFUSE,REFUSEx5,0
A104,R4,action,REFUSE,REFUSEx5,0
A105,R0,action,REFUSE,REFUSEx5,0
A105,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A105,R2,action,EXECUTE,EXECUTEx5,0
A105,R3,action,REFUSE,REFUSEx5,0
A105,R4,action,REFUSE,REFUSEx5,0
A106,R0,action,REFUSE,REFUSEx5,0
A106,R1,action,EXECUTE,EXECUTEx4/REFUSEx1,0
A106,R2,action,REFUSE,EXECUTEx1/REFUSEx4,0
A106,R3,action,REFUSE,REFUSEx5,0
A106,R4,action,REFUSE,REFUSEx5,0
A107,R0,action,REFUSE,REFUSEx5,0
