row_code,true_question_id,is_duplicate
QA-001,220,0
QA-002,167,0
QA-003,126,0
QA-004,210,0
QA-005,100,0
QA-006,297,0
QA-007,5,0
QA-008,190,0
QA-009,109,0
QA-010,12,0
QA-011,27,0
QA-012,172,0
QA-013,384,0
QA-014,4,0
QA-015,351,0
QA-016,365,0
QA-017,296,0
QA-018,269,0
QA-019,179,0
QA-020,192,0
QA-021,177,0
QA-022,52,0
QA-023,197,0
QA-024,112,0
QA-025,76,0
QA-026,294,0
QA-027,56,0
QA-028,40,0
QA-029,189,0
QA-030,151,0
QA-031,363,0
QA-032,61,0
QA-033,224,0
QA-034,226,0
QA-035,261,0
QA-036,332,0
QA-037,300,0
QA-038,359,0
QA-039,237,0
QA-040,183,0
QA-041,41,0
QA-042,309,0
QA-043,137,0
QA-044,345,0
QA-045,207,0
QA-046,356,0
QA-047,14,0
QA-048,260,0
QA-049,349,0
QA-050,88,0
QA-051,199,0
QA-052,180,0
QA-053,85,0
QA-054,144,0
QA-055,391,0
QA-056,206,1
QA-057,22,0
QA-058,378,1
QA-059,254,0
QA-060,3,0
QA-061,256,0
QA-062,133,0
QA-063,208,0
QA-064,289,0
QA-065,42,0
QA-066,246,0
QA-067,81,0
QA-068,129,0
QA-069,330,0
QA-070,212,0
QA-071,162,0
QA-072,357,0
QA-073,400,0
QA-074,285,0
QA-075,114,0
QA-076,136,0
QA-077,289,1
QA-078,121,0
QA-079,122,0
QA-080,159,0
QA-081,381,0
QA-082,158,0
QA-083,17,0
QA-084,392,0
QA-085,233,0
QA-086,93,0
QA-087,106,0
QA-088,355,0
QA-089,272,0
QA-090,334,0
QA-091,364,0
QA-092,77,0
QA-093,228,0
QA-094,69,0
QA-095,38,0
QA-096,282,0
QA-097,275,0
QA-098,119,0
QA-099,268,0
QA-100,270,0
QA-101,333,1
QA-102,322,0
QA-103,54,0
QA-104,325,0
QA-105,232,0
QA-106,182,0
QA-107,259,0
QA-108,287,0
QA-109,8,0
QA-110,74,0
QA-111,354,0
QA-112,366,0
QA-113,198,0
QA-114,331,0
QA-115,43,0
QA-116,305,0
QA-117,171,0
QA-118,168,0
QA-119,344,0
QA-120,191,0
QA-121,249,0
QA-122,278,0
QA-123,178,0
QA-124,36,0
QA-125,131,0
QA-126,341,0
QA-127,362,0
QA-128,218,0
QA-129,157,0
QA-130,33,0
QA-131,135,0
QA-132,215,0
QA-133,156,0
QA-134,143,0
QA-135,385,0
QA-136,292,0
QA-137,55,0
QA-138,47,1
QA-139,370,0
QA-140,9,0
QA-141,79,0
QA-142,321,0
QA-143,398,0
QA-144,92,0
QA-145,116,0
QA-146,152,0
QA-147,82,0
QA-148,271,0
QA-149,315,0
QA-150,19,0
QA-151,23,0
QA-152,273,0
QA-153,312,0
QA-154,303,0
QA-155,37,0
QA-156,31,1
QA-157,231,0
QA-158,251,0
QA-159,147,0
QA-160,395,0
QA-161,138,0
QA-162,290,0
QA-163,65,0
QA-164,86,0
QA-165,247,0
QA-166,293,0
QA-167,360,0
QA-168,164,0
QA-169,205,0
QA-170,132,0
QA-171,265,0
QA-172,153,0
QA-173,170,0
QA-174,338,0
QA-175,24,0
QA-176,266,0
QA-177,219,0
QA-178,91,0
QA-179,16,0
QA-180,377,0
QA-181,107,0
QA-182,368,0
QA-183,223,0
QA-184,49,0
QA-185,105,0
QA-186,394,0
QA-187,214,0
QA-188,94,0
QA-189,304,0
QA-190,163,0
QA-191,176,0
QA-192,11,0
QA-193,333,0
QA-194,192,1
QA-195,196,0
QA-196,308,0
QA-197,60,0
QA-198,175,0
QA-199,26,0
QA-200,57,0
QA-201,352,0
QA-202,298,0
QA-203,307,0
QA-204,373,0
QA-205,342,0
QA-206,255,0
QA-207,18,0
QA-208,117,0
QA-209,378,0
QA-210,340,0
QA-211,230,0
QA-212,99,0
QA-213,87,0
QA-214,306,0
QA-215,327,0
QA-216,89,0
QA-217,80,0
QA-218,173,0
QA-219,35,0
QA-220,90,0
QA-221,310,0
QA-222,200,0
QA-223,110,0
QA-224,142,0
QA-225,62,0
QA-226,53,0
QA-227,67,0
QA-228,347,0
QA-229,311,0
QA-230,379,0
QA-231,201,0
QA-232,44,0
QA-233,393,0
QA-234,96,0
QA-235,399,0
QA-236,371,0
QA-237,316,0
QA-238,295,0
QA-239,139,0
QA-240,188,0
QA-241,48,0
QA-242,169,0
QA-243,312,1
QA-244,264,0
QA-245,111,0
QA-246,383,0
QA-247,358,0
QA-248,216,0
QA-249,104,0
QA-250,227,0
QA-251,75,0
QA-252,150,0
QA-253,47,0
QA-254,302,0
QA-255,238,0
QA-256,283,0
QA-257,236,0
QA-258,301,0
QA-259,375,0
QA-260,262,0
QA-261,202,0
QA-262,1,0
QA-263,367,0
QA-264,313,0
QA-265,25,0
QA-266,161,0
QA-267,372,0
QA-268,250,0
QA-269,145,0
QA-270,95,0
QA-271,51,0
QA-272,253,0
QA-273,235,0
QA-274,165,0
QA-275,317,0
QA-276,209,1
QA-277,181,0
QA-278,285,1
QA-279,239,0
QA-280,263,0
QA-281,288,0
QA-282,120,0
QA-283,7,0
QA-284,346,0
QA-285,343,0
QA-286,319,0
QA-287,279,0
QA-288,221,0
QA-289,29,0
QA-290,2,0
QA-291,50,0
QA-292,63,0
QA-293,217,0
QA-294,59,0
QA-295,318,0
QA-296,376,0
QA-297,193,0
QA-298,326,0
QA-299,118,0
QA-300,324,0
QA-301,184,0
QA-302,277,0
QA-303,125,0
QA-304,382,0
QA-305,291,0
QA-306,353,0
QA-307,242,0
QA-308,102,1
QA-309,400,1
QA-310,390,0
QA-311,123,0
QA-312,369,0
QA-313,186,0
QA-314,229,0
QA-315,108,0
QA-316,234,0
QA-317,70,0
QA-318,240,0
QA-319,160,0
QA-320,195,0
QA-321,141,0
QA-322,83,1
QA-323,34,0
QA-324,370,1
QA-325,194,1
QA-326,140,0
QA-327,320,0
QA-328,166,0
QA-329,78,0
QA-330,154,0
QA-331,211,0
QA-332,185,0
QA-333,26,1
QA-334,241,0
QA-335,335,0
QA-336,30,0
QA-337,21,0
QA-338,130,0
QA-339,83,0
QA-340,397,1
QA-341,248,0
QA-342,73,0
QA-343,281,0
QA-344,350,0
QA-345,98,0
QA-346,64,0
QA-347,134,0
QA-348,103,0
QA-349,68,0
QA-350,314,0
QA-351,115,0
QA-352,252,0
QA-353,31,0
QA-354,148,0
QA-355,84,0
QA-356,245,0
QA-357,267,0
QA-358,45,0
QA-359,206,0
QA-360,387,0
QA-361,6,0
QA-362,10,0
QA-363,127,0
QA-364,13,0
QA-365,71,0
QA-366,128,0
QA-367,323,0
QA-368,222,0
QA-369,16,1
QA-370,146,0
QA-371,124,0
QA-372,380,0
QA-373,213,0
QA-374,101,0
QA-375,155,0
QA-376,32,0
QA-377,46,0
QA-378,72,0
QA-379,374,0
QA-380,386,0
QA-381,336,0
QA-382,388,0
QA-383,225,0
QA-384,361,0
QA-385,274,0
QA-386,149,0
QA-387,243,0
QA-388,293,1
QA-389,389,0
QA-390,187,0
QA-391,39,0
QA-392,390,1
QA-393,348,0
QA-394,28,0
QA-395,257,0
QA-396,66,0
QA-397,299,0
QA-398,113,0
QA-399,328,0
QA-400,15,0
QA-401,280,0
QA-402,337,0
QA-403,339,0
QA-404,58,0
QA-405,329,0
QA-406,396,0
QA-407,174,0
QA-408,203,0
QA-409,397,0
QA-410,258,0
QA-411,102,0
QA-412,204,0
QA-413,194,0
QA-414,20,0
QA-415,97,0
QA-416,244,0
QA-417,209,0
QA-418,284,0
QA-419,276,0
QA-420,286,0
