row_code,true_action_id,is_duplicate
ACT-001,12,0
ACT-002,92,0
ACT-003,162,0
ACT-004,141,0
ACT-005,42,0
ACT-006,57,0
ACT-007,135,0
ACT-008,156,0
ACT-009,79,0
ACT-010,67,0
ACT-011,110,0
ACT-012,109,0
ACT-013,87,0
ACT-014,38,0
ACT-015,93,0
ACT-016,186,0
ACT-017,26,0
ACT-018,163,0
ACT-019,96,0
ACT-020,17,0
ACT-021,61,0
ACT-022,177,0
ACT-023,140,0
ACT-024,111,0
ACT-025,158,0
ACT-026,134,0
ACT-027,104,0
ACT-028,54,0
ACT-029,164,0
ACT-030,14,0
ACT-031,30,0
ACT-032,103,0
ACT-033,98,0
ACT-034,91,1
ACT-035,34,0
ACT-036,85,0
ACT-037,161,0
ACT-038,43,1
ACT-039,19,0
ACT-040,13,0
ACT-041,102,0
ACT-042,37,0
ACT-043,2,0
ACT-044,198,0
ACT-045,83,0
ACT-046,132,0
ACT-047,51,0
ACT-048,172,0
ACT-049,41,0
ACT-050,179,0
ACT-051,127,0
ACT-052,149,0
ACT-053,72,0
ACT-054,160,0
ACT-055,133,0
ACT-056,115,0
ACT-057,114,0
ACT-058,39,0
ACT-059,166,0
ACT-060,35,0
ACT-061,153,0
ACT-062,71,0
ACT-063,33,0
ACT-064,6,0
ACT-065,194,0
ACT-066,147,0
ACT-067,32,0
ACT-068,200,1
ACT-069,99,0
ACT-070,31,0
ACT-071,91,0
ACT-072,145,0
ACT-073,24,0
ACT-074,173,0
ACT-075,55,0
ACT-076,7,0
ACT-077,139,0
ACT-078,40,0
ACT-079,197,0
ACT-080,44,0
ACT-081,81,0
ACT-082,86,0
ACT-083,90,0
ACT-084,195,1
ACT-085,154,0
ACT-086,155,0
ACT-087,43,0
ACT-088,191,0
ACT-089,15,0
ACT-090,3,0
ACT-091,184,0
ACT-092,21,0
ACT-093,152,0
ACT-094,22,0
ACT-095,53,0
ACT-096,45,0
ACT-097,46,0
ACT-098,118,0
ACT-099,128,0
ACT-100,60,0
ACT-101,100,0
ACT-102,142,0
ACT-103,95,0
ACT-104,29,0
ACT-105,119,0
ACT-106,187,0
ACT-107,58,0
ACT-108,63,0
ACT-109,131,0
ACT-110,94,0
ACT-111,136,0
ACT-112,5,0
ACT-113,27,0
ACT-114,190,0
ACT-115,101,0
ACT-116,23,0
ACT-117,120,0
ACT-118,117,0
ACT-119,167,0
ACT-120,66,0
ACT-121,48,0
ACT-122,10,0
ACT-123,110,1
ACT-124,169,0
ACT-125,68,0
ACT-126,107,0
ACT-127,74,0
ACT-128,75,0
ACT-129,112,0
ACT-130,126,0
ACT-131,174,0
ACT-132,9,0
ACT-133,78,0
ACT-134,50,0
ACT-135,88,0
ACT-136,199,0
ACT-137,182,0
ACT-138,82,0
ACT-139,65,0
ACT-140,188,0
ACT-141,130,0
ACT-142,64,0
ACT-143,189,0
ACT-144,151,0
ACT-145,52,0
ACT-146,17,1
ACT-147,195,0
ACT-148,120,1
ACT-149,11,0
ACT-150,113,0
ACT-151,106,0
ACT-152,170,0
ACT-153,181,0
ACT-154,97,0
ACT-155,192,0
ACT-156,89,0
ACT-157,137,0
ACT-158,80,0
ACT-159,150,0
ACT-160,25,0
ACT-161,125,0
ACT-162,76,0
ACT-163,176,0
ACT-164,185,0
ACT-165,129,0
ACT-166,105,0
ACT-167,165,0
ACT-168,20,0
ACT-169,148,0
ACT-170,8,0
ACT-171,171,0
ACT-172,196,0
ACT-173,168,0
ACT-174,47,0
ACT-175,69,0
ACT-176,143,0
ACT-177,62,0
ACT-178,28,0
ACT-179,77,0
ACT-180,4,0
ACT-181,49,0
ACT-182,101,1
ACT-183,56,0
ACT-184,59,0
ACT-185,138,0
ACT-186,16,0
ACT-187,123,0
ACT-188,146,0
ACT-189,36,0
ACT-190,122,0
ACT-191,157,0
ACT-192,144,0
ACT-193,124,0
ACT-194,116,0
ACT-195,70,0
ACT-196,26,1
ACT-197,159,0
ACT-198,121,0
ACT-199,175,0
ACT-200,178,0
ACT-201,180,0
ACT-202,193,0
ACT-203,172,1
ACT-204,73,0
ACT-205,200,0
ACT-206,1,0
ACT-207,108,0
ACT-208,84,0
ACT-209,183,0
ACT-210,18,0
