row_code,true_question_id,is_duplicate
REL-001,107,0
REL-002,169,0
REL-003,181,0
REL-004,154,0
REL-005,135,0
REL-006,150,0
REL-007,143,0
REL-008,128,0
REL-009,156,0
REL-010,164,1
REL-011,176,0
REL-012,184,1
REL-013,145,0
REL-014,186,0
REL-015,104,0
REL-016,112,0
REL-017,139,0
REL-018,122,0
REL-019,134,0
REL-020,175,1
REL-021,160,0
REL-022,197,0
REL-023,118,0
REL-024,168,0
REL-025,173,0
REL-026,130,0
REL-027,159,0
REL-028,198,0
REL-029,192,0
REL-030,174,0
REL-031,149,0
REL-032,120,0
REL-033,189,0
REL-034,146,0
REL-035,117,1
REL-036,167,0
REL-037,132,0
REL-038,185,0
REL-039,133,0
REL-040,180,0
REL-041,142,0
REL-042,179,0
REL-043,182,0
REL-044,196,0
REL-045,101,0
REL-046,123,0
REL-047,129,0
REL-048,195,0
REL-049,126,0
REL-050,105,0
REL-051,140,0
REL-052,170,0
REL-053,114,0
REL-054,111,1
REL-055,121,0
REL-056,151,0
REL-057,102,0
REL-058,174,1
REL-059,108,0
REL-060,184,0
REL-061,178,0
REL-062,170,1
REL-063,119,0
REL-064,161,0
REL-065,190,0
REL-066,137,0
REL-067,164,0
REL-068,162,0
REL-069,155,0
REL-070,171,0
REL-071,177,0
REL-072,115,0
REL-073,193,0
REL-074,148,0
REL-075,199,0
REL-076,163,1
REL-077,110,0
REL-078,200,0
REL-079,183,0
REL-080,157,0
REL-081,116,0
REL-082,144,0
REL-083,152,0
REL-084,117,0
REL-085,166,0
REL-086,172,0
REL-087,103,0
REL-088,113,0
REL-089,147,0
REL-090,138,0
REL-091,165,0
REL-092,188,1
REL-093,136,0
REL-094,124,0
REL-095,187,0
REL-096,131,0
REL-097,153,0
REL-098,142,1
REL-099,106,0
REL-100,194,0
REL-101,163,0
REL-102,141,0
REL-103,111,0
REL-104,127,0
REL-105,188,0
REL-106,109,0
REL-107,158,0
REL-108,191,0
REL-109,175,0
