row_code,true_row,is_probe
ROW-001,Q35,0
ROW-002,Q28,0
ROW-003,Q342,0
ROW-004,Q172(v1.1),0
ROW-005,Q344,1
ROW-006,Q252,1
ROW-007,Q240,0
ROW-008,A4,0
ROW-009,Q362,0
ROW-010,Q250,0
ROW-011,Q145(v1.1),0
ROW-012,A102,0
ROW-013,Q55,0
ROW-014,Q328,0
ROW-015,Q201,0
ROW-016,Q224,0
ROW-017,A7,0
ROW-018,Q330,0
ROW-019,A9,0
ROW-020,Q96,0
ROW-021,Q200(v1.1),0
ROW-022,Q18,0
ROW-023,Q146(v1.1),1
ROW-024,Q118(v1.1),0
ROW-025,Q344,0
ROW-026,Q224,1
ROW-027,A47,0
ROW-028,Q12,0
ROW-029,Q363,0
ROW-030,Q348,0
ROW-031,Q389,0
ROW-032,Q167(v1.1),0
ROW-033,A19,0
ROW-034,Q185(v1.1),0
ROW-035,Q27,0
ROW-036,Q345,0
ROW-037,A44,0
ROW-038,Q83,0
ROW-039,Q29,0
ROW-040,Q284,0
ROW-041,Q241,0
ROW-042,Q99,0
ROW-043,A142,0
ROW-044,Q176(v1.1),0
ROW-045,Q329,0
ROW-046,Q192(v1.1),0
ROW-047,Q226,0
ROW-048,A1,0
ROW-049,Q30,0
ROW-050,Q302,0
ROW-051,A12,0
ROW-052,Q146(v1.1),0
ROW-053,A148,0
ROW-054,A101,0
ROW-055,Q105(v1.1),0
ROW-056,Q312,0
ROW-057,Q358,0
ROW-058,Q70,0
ROW-059,Q64,0
ROW-060,Q11,0
ROW-061,Q353,0
ROW-062,Q246,0
ROW-063,Q37,0
ROW-064,Q385,0
ROW-065,Q311,0
ROW-066,Q252,0
ROW-067,Q190(v1.1),0
ROW-068,Q15,0
ROW-069,A45,0
ROW-070,Q157(v1.1),0
ROW-071,Q119(v1.1),0
ROW-072,Q229,0
ROW-073,Q308,0
ROW-074,Q311,1
ROW-075,Q291,0
ROW-076,Q230,0
ROW-077,Q234,0
ROW-078,Q335,0
ROW-079,Q200(v1.1),1
ROW-080,Q213,0
ROW-081,Q359,0
