row_code,true_question_id,is_duplicate
QA-001,279,0
QA-002,136,0
QA-003,50,0
QA-004,185,0
QA-005,112,0
QA-006,2,0
QA-007,45,0
QA-008,11,0
QA-009,114,0
QA-010,199,0
QA-011,293,1
QA-012,250,0
QA-013,155,0
QA-014,78,0
QA-015,221,0
QA-016,361,0
QA-017,151,0
QA-018,21,0
QA-019,147,0
QA-020,265,0
QA-021,182,0
QA-022,69,0
QA-023,190,0
QA-024,29,0
QA-025,194,1
QA-026,337,0
QA-027,218,0
QA-028,139,0
QA-029,329,0
QA-030,388,0
QA-031,193,0
QA-032,387,0
QA-033,208,0
QA-034,374,0
QA-035,263,0
QA-036,195,0
QA-037,47,0
QA-038,213,0
QA-039,31,1
QA-040,225,0
QA-041,330,0
QA-042,378,0
QA-043,33,0
QA-044,280,0
QA-045,132,0
QA-046,133,0
QA-047,123,0
QA-048,70,0
QA-049,129,0
QA-050,258,0
QA-051,212,0
QA-052,142,0
QA-053,326,0
QA-054,118,0
QA-055,369,0
QA-056,393,0
QA-057,363,0
QA-058,26,0
QA-059,140,0
QA-060,103,0
QA-061,296,0
QA-062,25,0
QA-063,368,0
QA-064,126,0
QA-065,117,0
QA-066,174,0
QA-067,325,0
QA-068,9,0
QA-069,90,0
QA-070,22,0
QA-071,305,0
QA-072,27,0
QA-073,315,0
QA-074,75,0
QA-075,23,0
QA-076,161,0
QA-077,60,0
QA-078,48,0
QA-079,14,0
QA-080,173,0
QA-081,10,0
QA-082,370,0
QA-083,299,0
QA-084,286,0
QA-085,302,0
QA-086,7,0
QA-087,175,0
QA-088,96,0
QA-089,148,0
QA-090,309,0
QA-091,37,0
QA-092,243,0
QA-093,226,0
QA-094,261,0
QA-095,264,0
QA-096,3,0
QA-097,92,0
QA-098,259,0
QA-099,228,0
QA-100,331,0
QA-101,320,0
QA-102,58,0
QA-103,294,0
QA-104,98,0
QA-105,179,0
QA-106,178,0
QA-107,396,0
QA-108,127,0
QA-109,184,0
QA-110,383,0
QA-111,83,1
QA-112,152,0
QA-113,352,0
QA-114,169,0
QA-115,197,0
QA-116,365,0
QA-117,353,0
QA-118,145,0
QA-119,211,0
QA-120,285,0
QA-121,336,0
QA-122,192,0
QA-123,322,0
QA-124,376,0
