row_code,true_action_id,is_duplicate
ACT-001,40,0
ACT-002,137,0
ACT-003,175,0
ACT-004,127,0
ACT-005,34,0
ACT-006,42,0
ACT-007,195,0
ACT-008,102,0
ACT-009,155,0
ACT-010,58,0
ACT-011,144,0
ACT-012,27,0
ACT-013,133,0
ACT-014,46,0
ACT-015,191,0
ACT-016,70,0
ACT-017,120,1
ACT-018,150,0
ACT-019,164,0
ACT-020,146,0
ACT-021,161,0
ACT-022,176,0
ACT-023,156,0
ACT-024,71,0
ACT-025,145,0
ACT-026,123,0
ACT-027,95,0
ACT-028,115,0
ACT-029,72,0
ACT-030,110,0
ACT-031,104,0
ACT-032,170,0
ACT-033,79,0
ACT-034,188,0
ACT-035,173,0
ACT-036,57,0
ACT-037,11,0
ACT-038,37,0
ACT-039,84,0
ACT-040,119,0
ACT-041,74,0
ACT-042,179,0
ACT-043,1,0
ACT-044,69,0
ACT-045,139,0
ACT-046,172,1
ACT-047,25,0
ACT-048,157,0
ACT-049,82,0
ACT-050,136,0
ACT-051,33,0
ACT-052,26,1
ACT-053,97,0
ACT-054,36,0
ACT-055,43,0
ACT-056,31,0
ACT-057,60,0
ACT-058,196,0
ACT-059,4,0
ACT-060,193,0
ACT-061,48,0
ACT-062,160,0
ACT-063,199,0
ACT-064,51,0
ACT-065,88,0
ACT-066,184,0
ACT-067,130,0
ACT-068,124,0
ACT-069,126,0
ACT-070,89,0
ACT-071,65,0
ACT-072,87,0
ACT-073,39,0
ACT-074,181,0
ACT-075,185,0
ACT-076,118,0
ACT-077,177,0
ACT-078,167,0
ACT-079,29,0
ACT-080,110,1
ACT-081,52,0
ACT-082,129,0
ACT-083,28,0
ACT-084,83,0
ACT-085,200,1
ACT-086,125,0
ACT-087,128,0
ACT-088,63,0
ACT-089,190,0
ACT-090,135,0
ACT-091,12,0
ACT-092,73,0
ACT-093,148,0
ACT-094,15,0
ACT-095,112,0
ACT-096,93,0
ACT-097,56,0
ACT-098,197,0
ACT-099,81,0
ACT-100,90,0
ACT-101,178,0
ACT-102,3,0
ACT-103,198,0
ACT-104,189,0
ACT-105,180,0
ACT-106,94,0
ACT-107,107,0
ACT-108,43,1
ACT-109,23,0
ACT-110,109,0
ACT-111,45,0
ACT-112,17,1
ACT-113,168,0
ACT-114,116,0
ACT-115,59,0
ACT-116,50,0
ACT-117,47,0
ACT-118,22,0
ACT-119,158,0
ACT-120,120,0
ACT-121,18,0
ACT-122,117,0
ACT-123,16,0
ACT-124,55,0
ACT-125,194,0
ACT-126,186,0
ACT-127,101,1
ACT-128,30,0
ACT-129,111,0
ACT-130,121,0
ACT-131,134,0
ACT-132,77,0
ACT-133,122,0
ACT-134,169,0
ACT-135,183,0
ACT-136,100,0
ACT-137,9,0
ACT-138,8,0
ACT-139,6,0
ACT-140,159,0
ACT-141,13,0
ACT-142,172,0
ACT-143,76,0
ACT-144,141,0
ACT-145,147,0
ACT-146,10,0
ACT-147,113,0
ACT-148,187,0
ACT-149,163,0
ACT-150,114,0
ACT-151,24,0
ACT-152,165,0
ACT-153,68,0
ACT-154,26,0
ACT-155,49,0
ACT-156,103,0
ACT-157,154,0
ACT-158,171,0
ACT-159,92,0
ACT-160,149,0
ACT-161,53,0
ACT-162,32,0
ACT-163,174,0
ACT-164,67,0
ACT-165,35,0
ACT-166,195,1
ACT-167,96,0
ACT-168,41,0
ACT-169,80,0
ACT-170,91,0
ACT-171,152,0
ACT-172,64,0
ACT-173,162,0
ACT-174,142,0
ACT-175,101,0
ACT-176,85,0
ACT-177,14,0
ACT-178,44,0
ACT-179,105,0
ACT-180,86,0
ACT-181,131,0
ACT-182,192,0
ACT-183,38,0
ACT-184,153,0
ACT-185,21,0
ACT-186,61,0
ACT-187,99,0
ACT-188,62,0
ACT-189,106,0
ACT-190,143,0
ACT-191,5,0
ACT-192,2,0
ACT-193,78,0
ACT-194,91,1
ACT-195,200,0
ACT-196,17,0
ACT-197,151,0
ACT-198,54,0
ACT-199,132,0
ACT-200,108,0
ACT-201,75,0
ACT-202,182,0
ACT-203,98,0
ACT-204,166,0
ACT-205,66,0
ACT-206,140,0
ACT-207,19,0
ACT-208,20,0
ACT-209,7,0
ACT-210,138,0
