row_code,true_question_id,is_duplicate
QA-001,271,0
QA-002,315,0
QA-003,322,0
QA-004,312,0
QA-005,196,0
QA-006,400,1
QA-007,377,0
QA-008,307,0
QA-009,206,0
QA-010,269,0
QA-011,346,0
QA-012,34,0
QA-013,287,0
QA-014,207,0
QA-015,29,0
QA-016,250,0
QA-017,10,0
QA-018,83,0
QA-019,290,0
QA-020,49,0
QA-021,38,0
QA-022,391,0
QA-023,199,0
QA-024,275,0
QA-025,165,0
QA-026,247,0
QA-027,251,0
QA-028,59,0
QA-029,71,0
QA-030,91,0
QA-031,19,0
QA-032,28,0
QA-033,186,0
QA-034,47,1
QA-035,338,0
QA-036,387,0
QA-037,302,0
QA-038,127,0
QA-039,392,0
QA-040,180,0
QA-041,399,0
QA-042,1,0
QA-043,259,0
QA-044,74,0
QA-045,333,1
QA-046,370,0
QA-047,189,0
QA-048,281,0
QA-049,55,0
QA-050,200,0
QA-051,109,0
QA-052,345,0
QA-053,237,0
QA-054,279,0
QA-055,232,0
QA-056,16,0
QA-057,166,0
QA-058,147,0
QA-059,46,0
QA-060,126,0
QA-061,361,0
QA-062,86,0
QA-063,278,0
QA-064,57,0
QA-065,54,0
QA-066,246,0
QA-067,136,0
QA-068,221,0
QA-069,169,0
QA-070,21,0
QA-071,366,0
QA-072,5,0
QA-073,252,0
QA-074,26,1
QA-075,52,0
QA-076,160,0
QA-077,373,0
QA-078,317,0
QA-079,24,0
QA-080,185,0
QA-081,348,0
QA-082,280,0
QA-083,30,0
QA-084,202,0
QA-085,295,0
QA-086,25,0
QA-087,132,0
QA-088,85,0
QA-089,323,0
QA-090,263,0
QA-091,331,0
QA-092,305,0
QA-093,120,0
QA-094,304,0
QA-095,342,0
QA-096,142,0
QA-097,42,0
QA-098,75,0
QA-099,143,0
QA-100,214,0
QA-101,88,0
QA-102,226,0
QA-103,17,0
QA-104,227,0
QA-105,222,0
QA-106,289,0
QA-107,198,0
QA-108,39,0
QA-109,350,0
QA-110,264,0
QA-111,376,0
QA-112,116,0
QA-113,93,0
QA-114,224,0
QA-115,299,0
QA-116,83,1
QA-117,367,0
QA-118,274,0
QA-119,394,0
QA-120,272,0
QA-121,110,0
QA-122,340,0
QA-123,111,0
QA-124,69,0
QA-125,94,0
QA-126,89,0
QA-127,397,1
QA-128,118,0
QA-129,306,0
QA-130,114,0
QA-131,265,0
QA-132,356,0
QA-133,103,0
QA-134,9,0
QA-135,79,0
QA-136,124,0
QA-137,242,0
QA-138,357,0
QA-139,108,0
QA-140,90,0
QA-141,303,0
QA-142,285,1
QA-143,113,0
QA-144,197,0
QA-145,16,1
QA-146,238,0
QA-147,213,0
QA-148,283,0
QA-149,243,0
QA-150,144,0
QA-151,332,0
QA-152,293,1
QA-153,139,0
QA-154,208,0
QA-155,218,0
QA-156,84,0
QA-157,335,0
QA-158,254,0
QA-159,188,0
QA-160,151,0
QA-161,96,0
QA-162,106,0
QA-163,32,0
QA-164,193,0
QA-165,152,0
QA-166,229,0
QA-167,388,0
QA-168,63,0
QA-169,374,0
QA-170,288,0
QA-171,67,0
QA-172,167,0
QA-173,330,0
QA-174,289,1
QA-175,98,0
QA-176,61,0
QA-177,135,0
QA-178,206,1
QA-179,172,0
QA-180,33,0
QA-181,316,0
QA-182,284,0
QA-183,211,0
QA-184,80,0
QA-185,296,0
QA-186,12,0
QA-187,212,0
QA-188,300,0
QA-189,70,0
QA-190,195,0
QA-191,102,0
QA-192,309,0
QA-193,375,0
QA-194,7,0
QA-195,133,0
QA-196,45,0
QA-197,31,0
QA-198,178,0
QA-199,327,0
QA-200,349,0
QA-201,81,0
QA-202,355,0
QA-203,153,0
QA-204,291,0
QA-205,36,0
QA-206,347,0
QA-207,47,0
QA-208,187,0
QA-209,100,0
QA-210,13,0
QA-211,125,0
QA-212,122,0
QA-213,31,1
QA-214,262,0
QA-215,351,0
QA-216,311,0
QA-217,325,0
QA-218,312,1
QA-219,334,0
QA-220,4,0
QA-221,134,0
QA-222,240,0
QA-223,267,0
QA-224,3,0
QA-225,385,0
QA-226,60,0
QA-227,201,0
QA-228,380,0
QA-229,286,0
QA-230,368,0
QA-231,314,0
QA-232,104,0
QA-233,123,0
QA-234,294,0
QA-235,320,0
QA-236,364,0
QA-237,353,0
QA-238,362,0
QA-239,233,0
QA-240,162,0
QA-241,382,0
QA-242,276,0
QA-243,268,0
QA-244,58,0
QA-245,56,0
QA-246,137,0
QA-247,359,0
QA-248,112,0
QA-249,192,1
QA-250,326,0
QA-251,273,0
QA-252,209,0
QA-253,65,0
QA-254,210,0
QA-255,258,0
QA-256,369,0
QA-257,298,0
QA-258,248,0
QA-259,225,0
QA-260,261,0
QA-261,173,0
QA-262,141,0
QA-263,149,0
QA-264,155,0
QA-265,64,0
QA-266,245,0
QA-267,44,0
QA-268,23,0
QA-269,102,1
QA-270,354,0
QA-271,97,0
QA-272,138,0
QA-273,171,0
QA-274,396,0
QA-275,26,0
QA-276,220,0
QA-277,372,0
QA-278,390,1
QA-279,297,0
QA-280,11,0
QA-281,209,1
QA-282,266,0
QA-283,393,0
QA-284,156,0
QA-285,194,0
