row,requester,kind,votes_by_annotator,majority,tie
A1,R4,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A10,R2,action,E:REFUSE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A101,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A102,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A102,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A104,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A105,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A106,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A106,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A108,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A109,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A11,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A110,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A110,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A111,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A111,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A112,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A114,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A115,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A116,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A117,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A119,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A120,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A121,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A121,R4,action,E:REFUSE;abhinav:EXECUTE;chenyu:REFUSE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A122,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A122,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A123,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A124,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A124,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A125,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A127,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A128,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A128,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A13,R2,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A130,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A130,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A131,R2,action,E:REFUSE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A132,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A133,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,REFUSE,0
A134,R1,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A135,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A135,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,EXECUTE,0
A136,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A137,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A138,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A138,R2,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,EXECUTE,0
A139,R1,action,E:EXECUTE;abhinav:REFUSE;chenyu:EXECUTE;sara:EXECUTE;trishit:EXECUTE,EXECUTE,0
A14,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
A141,R1,action,E:EXECUTE;abhinav:EXECUTE;chenyu:EXECUTE;sara:EXECUTE;trishit:REFUSE,EXECUTE,0
A141,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:EXECUTE,REFUSE,0
A142,R2,action,E:REFUSE;abhinav:REFUSE;chenyu:EXECUTE;sara:REFUSE;trishit:REFUSE,REFUSE,0
