row,kind,category,text,R0_ai,R1_ai,R2_ai,R3_ai,R4_ai,R0_final,R1_final,R2_final,R3_final,R4_final,flags,why
Q1,qa,work_public,What is the launch date for Project Alpha?,P(0.90),L(0.95),L(0.90),B(0.70),L(0.90),P,L,L,,L,R3:B,"R3:unreleased launch date, but milestone-sharing with a close friend is defensible"
Q2,qa,work_public,What is the total budget allocated for Project Alpha?,P(0.95),L(0.90),L(0.90),P(0.85),L(0.85),P,L,L,P,L,,"R3:internal budget figure, operationally load-bearing"
Q3,qa,work_public,How many engineers are on the Project Alpha team?,P(0.90),L(0.95),L(0.90),B(0.70),L(0.85),P,L,L,,L,R3:B,"R3:team size is mild internal fact, default B holds"
Q4,qa,work_public,What's the DAU target for Project Alpha?,P(0.90),L(0.95),L(0.85),P(0.70),L(0.90),P,L,L,P,L,,"R3:unreleased growth target, escalated from B"
Q5,qa,work_public,What tech stack is Project Alpha built on?,P(0.65),L(0.95),L(0.85),B(0.70),L(0.80),P,L,L,,L,R0:lowconf;R3:B,R0:stacks are often shared publicly but not established as published here | R3:tech-stack chat is friend-conversation grade yet internal by default
Q6,qa,work_public,What's the target market for Project Beta?,P(0.95),L(0.80),L(0.90),P(0.85),L(0.90),P,L,L,P,L,,R3:unreleased pricing and go-to-market strategy is operationally load-bearing
Q7,qa,work_public,What's the planned pricing for Project Beta?,P(0.95),L(0.85),L(0.85),P(0.80),L(0.90),P,L,L,P,L,,R3:unreleased pricing is an internal financial figure — escalated
Q8,qa,work_public,What are the Q1 2026 objectives?,P(0.95),L(0.90),L(0.90),P(0.75),L(0.90),P,L,L,P,L,,R3:objectives reveal fundraising target and hiring plan — internal financial figures
Q9,qa,work_public,Who are our main competitors?,B(0.55),L(0.95),L(0.90),B(0.60),L(0.95),,L,L,,L,R0:B;R3:B,R0:competitor set is near-public industry knowledge but not established as published by TechFlow | R3:casual industry chat vs internal competitive framing
Q10,qa,work_public,What's our competitive edge versus competitors?,P(0.70),L(0.90),L(0.90),B(0.65),L(0.95),P,L,L,,L,R3:B,R0:pitch-grade line but not established as externally published | R3:positioning is pitch-grade yet still internal strategy
Q11,qa,work_public,What's our biggest competitive weakness?,P(0.95),L(0.85),L(0.90),B(0.70),L(0.85),P,L,L,,L,R3:B,R3:competitive self-assessment is strategy-ish but 'smaller team' is friend-chat grade
Q12,qa,work_public,What are the public API endpoints?,L(0.70),L(0.95),L(0.90),L(0.75),L(0.90),L,L,L,L,L,,"R0:public API endpoints/limits are externally published docs | R3:public-facing documentation, de-escalate"
