row_code,true_action_id,is_duplicate
ACT-001,6,0
ACT-002,84,0
ACT-003,172,1
ACT-004,96,0
ACT-005,55,0
ACT-006,32,0
ACT-007,182,0
ACT-008,11,0
ACT-009,18,0
ACT-010,120,0
ACT-011,104,0
ACT-012,200,1
ACT-013,52,0
ACT-014,85,0
ACT-015,28,0
ACT-016,124,0
ACT-017,112,0
ACT-018,79,0
ACT-019,131,0
ACT-020,94,0
ACT-021,54,0
ACT-022,147,0
ACT-023,115,0
ACT-024,179,0
ACT-025,129,0
ACT-026,37,0
ACT-027,164,0
ACT-028,165,0
ACT-029,100,0
ACT-030,172,0
ACT-031,58,0
ACT-032,88,0
ACT-033,69,0
ACT-034,196,0
ACT-035,31,0
ACT-036,148,0
ACT-037,126,0
ACT-038,153,0
ACT-039,136,0
ACT-040,49,0
ACT-041,19,0
ACT-042,113,0
ACT-043,71,0
ACT-044,119,0
ACT-045,199,0
ACT-046,134,0
ACT-047,83,0
ACT-048,139,0
ACT-049,171,0
ACT-050,61,0
ACT-051,66,0
ACT-052,152,0
ACT-053,26,0
ACT-054,122,0
ACT-055,13,0
ACT-056,169,0
ACT-057,114,0
ACT-058,125,0
ACT-059,4,0
ACT-060,74,0
ACT-061,65,0
ACT-062,80,0
ACT-063,189,0
ACT-064,200,0
ACT-065,43,1
ACT-066,174,0
ACT-067,177,0
ACT-068,103,0
ACT-069,160,0
ACT-070,99,0
ACT-071,29,0
ACT-072,34,0
ACT-073,176,0
ACT-074,145,0
ACT-075,105,0
ACT-076,16,0
ACT-077,44,0
ACT-078,158,0
ACT-079,191,0
ACT-080,110,0
ACT-081,123,0
ACT-082,159,0
ACT-083,77,0
ACT-084,141,0
ACT-085,144,0
ACT-086,9,0
ACT-087,35,0
ACT-088,155,0
ACT-089,46,0
ACT-090,167,0
ACT-091,163,0
ACT-092,161,0
ACT-093,87,0
ACT-094,38,0
ACT-095,117,0
ACT-096,101,0
ACT-097,81,0
ACT-098,89,0
ACT-099,93,0
ACT-100,132,0
ACT-101,36,0
ACT-102,149,0
ACT-103,45,0
ACT-104,1,0
ACT-105,162,0
ACT-106,68,0
ACT-107,133,0
ACT-108,156,0
ACT-109,62,0
ACT-110,7,0
ACT-111,42,0
ACT-112,60,0
ACT-113,108,0
ACT-114,95,0
ACT-115,47,0
ACT-116,178,0
ACT-117,142,0
ACT-118,181,0
ACT-119,82,0
ACT-120,192,0
ACT-121,76,0
ACT-122,2,0
ACT-123,56,0
ACT-124,12,0
ACT-125,107,0
ACT-126,97,0
ACT-127,166,0
ACT-128,194,0
ACT-129,90,0
ACT-130,154,0
ACT-131,17,0
ACT-132,64,0
ACT-133,138,0
ACT-134,116,0
ACT-135,33,0
ACT-136,98,0
ACT-137,193,0
ACT-138,109,0
ACT-139,110,1
ACT-140,41,0
ACT-141,70,0
ACT-142,91,1
ACT-143,10,0
ACT-144,128,0
ACT-145,8,0
ACT-146,118,0
ACT-147,146,0
ACT-148,185,0
ACT-149,184,0
ACT-150,24,0
ACT-151,51,0
ACT-152,15,0
ACT-153,27,0
ACT-154,183,0
ACT-155,188,0
ACT-156,198,0
ACT-157,50,0
ACT-158,67,0
ACT-159,180,0
ACT-160,91,0
ACT-161,39,0
ACT-162,30,0
ACT-163,43,0
ACT-164,106,0
ACT-165,157,0
ACT-166,5,0
ACT-167,75,0
ACT-168,20,0
ACT-169,195,0
ACT-170,143,0
ACT-171,57,0
ACT-172,102,0
ACT-173,21,0
ACT-174,22,0
ACT-175,25,0
ACT-176,101,1
ACT-177,187,0
ACT-178,151,0
ACT-179,137,0
ACT-180,26,1
ACT-181,3,0
ACT-182,150,0
ACT-183,135,0
ACT-184,14,0
ACT-185,40,0
ACT-186,59,0
ACT-187,190,0
ACT-188,175,0
ACT-189,173,0
ACT-190,121,0
ACT-191,197,0
ACT-192,53,0
ACT-193,170,0
ACT-194,127,0
ACT-195,73,0
ACT-196,48,0
ACT-197,120,1
ACT-198,17,1
ACT-199,23,0
ACT-200,92,0
ACT-201,63,0
ACT-202,130,0
ACT-203,78,0
ACT-204,186,0
ACT-205,86,0
ACT-206,111,0
ACT-207,168,0
ACT-208,140,0
ACT-209,72,0
ACT-210,195,1
