row_code,true_row,is_probe
ROW-001,Q49,0
ROW-002,Q48,0
ROW-003,Q265,0
ROW-004,Q331,0
ROW-005,A124,0
ROW-006,Q14,1
ROW-007,Q275,0
ROW-008,Q241,0
ROW-009,A110,0
ROW-010,Q208,0
ROW-011,A43,0
ROW-012,A10,0
ROW-013,Q26,0
ROW-014,Q5,0
ROW-015,Q62,0
ROW-016,A133,0
ROW-017,Q287,0
ROW-018,Q353,0
ROW-019,A143,0
ROW-020,Q212,0
ROW-021,Q79,0
ROW-022,Q85,0
ROW-023,Q258,1
ROW-024,Q15,0
ROW-025,Q342,0
ROW-026,A41,0
ROW-027,Q228,0
ROW-028,A4,0
ROW-029,Q13,0
ROW-030,Q308,0
ROW-031,Q384,0
ROW-032,A50,0
ROW-033,Q236,0
ROW-034,Q248,0
ROW-035,Q325,0
ROW-036,A17,0
ROW-037,A32,0
ROW-038,A146,0
ROW-039,Q239,0
ROW-040,Q288,0
ROW-041,Q314,0
ROW-042,Q356,0
ROW-043,Q334,0
ROW-044,Q323,0
ROW-045,Q209,0
ROW-046,A104,0
ROW-047,Q235,0
ROW-048,Q38,0
ROW-049,Q60,0
ROW-050,Q204,0
ROW-051,Q240,0
ROW-052,Q367,0
ROW-053,Q31,0
ROW-054,Q72,0
ROW-055,A27,0
ROW-056,Q37,0
ROW-057,Q229,0
ROW-058,Q100,0
ROW-059,Q68,0
ROW-060,Q309,0
ROW-061,Q317,0
ROW-062,Q99,0
ROW-063,Q281,0
ROW-064,A28,0
ROW-065,Q370,0
ROW-066,A138,0
ROW-067,Q324,0
ROW-068,Q219,0
ROW-069,Q266,0
ROW-070,Q400,0
ROW-071,Q310,0
ROW-072,Q359,0
ROW-073,Q226,0
ROW-074,Q73,0
ROW-075,Q233,0
ROW-076,A140,0
ROW-077,A109,0
ROW-078,A25,0
ROW-079,Q86,0
ROW-080,Q202,0
ROW-081,A44,0
ROW-082,Q273,0
ROW-083,Q328,0
ROW-084,Q19,0
ROW-085,A2,0
ROW-086,A113,0
ROW-087,Q329,0
ROW-088,A20,0
ROW-089,Q390,0
ROW-090,Q282,0
ROW-091,A24,0
ROW-092,A136,0
ROW-093,Q234,0
ROW-094,Q289,0
ROW-095,A30,0
ROW-096,A39,0
ROW-097,A125,0
ROW-098,Q40,0
ROW-099,Q67,0
ROW-100,Q278,0
ROW-101,Q259,0
ROW-102,Q354,0
ROW-103,Q381,1
ROW-104,Q9,0
ROW-105,Q238,0
ROW-106,Q22,0
ROW-107,Q389,0
ROW-108,A111,0
ROW-109,A48,0
ROW-110,Q335,0
ROW-111,Q358,0
ROW-112,A3,0
ROW-113,Q84,0
ROW-114,Q96,0
ROW-115,Q81,0
ROW-116,Q251,1
ROW-117,Q56,0
ROW-118,Q44,0
ROW-119,A139,0
ROW-120,Q76,0
ROW-121,Q263,0
ROW-122,Q83,0
ROW-123,A120,0
ROW-124,Q250,0
ROW-125,Q12,0
ROW-126,Q46,0
ROW-127,Q88,0
ROW-128,Q318,0
ROW-129,Q247,0
ROW-130,Q312,0
ROW-131,Q69,0
ROW-132,Q249,0
ROW-133,Q80,0
ROW-134,Q277,0
ROW-135,Q221,0
ROW-136,Q268,0
ROW-137,A132,0
ROW-138,Q86,1
ROW-139,Q385,0
ROW-140,Q392,0
ROW-141,Q283,0
ROW-142,Q270,0
ROW-143,Q24,0
ROW-144,Q125,0
ROW-145,Q377,0
ROW-146,Q272,0
ROW-147,Q95,0
ROW-148,Q98,0
ROW-149,Q8,0
ROW-150,Q41,0
ROW-151,A37,0
ROW-152,Q53,0
ROW-153,Q256,1
ROW-154,A11,0
ROW-155,A137,0
ROW-156,Q319,0
ROW-157,Q223,0
ROW-158,Q210,0
ROW-159,Q291,0
ROW-160,Q220,0
ROW-161,A122,0
ROW-162,Q253,0
ROW-163,A45,0
ROW-164,Q257,0
ROW-165,A129,0
ROW-166,A19,0
ROW-167,Q305,0
ROW-168,Q299,0
ROW-169,Q378,0
ROW-170,Q284,0
ROW-171,Q365,0
ROW-172,Q397,0
ROW-173,Q338,0
ROW-174,Q254,0
ROW-175,Q364,0
ROW-176,Q258,0
ROW-177,Q388,0
ROW-178,A8,0
ROW-179,Q269,0
ROW-180,Q7,1
ROW-181,Q78,0
ROW-182,Q33,0
ROW-183,A14,0
ROW-184,Q326,0
ROW-185,Q32,0
ROW-186,A5,0
ROW-187,Q307,0
ROW-188,Q42,0
ROW-189,Q251,0
ROW-190,A22,0
ROW-191,Q36,0
ROW-192,A34,0
ROW-193,Q267,0
ROW-194,Q50,0
ROW-195,A40,0
ROW-196,Q315,0
ROW-197,Q297,0
ROW-198,A150,0
ROW-199,Q20,0
ROW-200,A33,0
ROW-201,Q59,0
ROW-202,A114,0
ROW-203,Q339,0
ROW-204,Q21,0
ROW-205,A9,0
ROW-206,Q260,0
ROW-207,Q343,0
ROW-208,A6,0
ROW-209,Q285,0
ROW-210,A134,0
ROW-211,A127,0
ROW-212,Q3,0
ROW-213,Q23,0
ROW-214,Q242,0
ROW-215,Q305,1
ROW-216,Q300,0
ROW-217,Q279,0
ROW-218,Q348,0
ROW-219,Q371,0
ROW-220,Q90,0
ROW-221,Q341,0
ROW-222,Q301,0
ROW-223,Q332,0
ROW-224,Q21,1
ROW-225,Q355,0
ROW-226,Q322,0
ROW-227,Q352,0
ROW-228,Q345,0
ROW-229,A145,0
ROW-230,Q206,0
ROW-231,Q274,0
ROW-232,Q30,0
ROW-233,A135,0
ROW-234,Q346,0
ROW-235,Q399,0
ROW-236,Q344,0
ROW-237,Q14,0
ROW-238,Q271,0
ROW-239,Q55,0
ROW-240,Q303,0
ROW-241,Q237,0
ROW-242,Q77,0
ROW-243,A49,0
