row_code,R0,R1,R2,R3,R4
CAL-QA-001,P,L,L,P,L
CAL-QA-042,P,L,L,P,L
CAL-QA-201,P,L,L,P,L
CAL-QA-310,P,L,L,P,P
CAL-QA-214,P,L,L,P,P
CAL-QA-220,P,L,L,L,L
CAL-QA-266,P,P,P,P,P
CAL-QA-270,P,P,P,P,P
CAL-QA-278,P,P,P,L,P
CAL-QA-285,P,P,P,L,P
CAL-QA-288,P,P,P,L,P
CAL-QA-399,P,P,P,L,P
CAL-ACT-001,REFUSE,EXECUTE,EXECUTE,REFUSE,REFUSE
CAL-ACT-010,REFUSE,EXECUTE,EXECUTE,REFUSE,REFUSE
CAL-ACT-026,REFUSE,EXECUTE,REFUSE,REFUSE,REFUSE
CAL-ACT-030,REFUSE,EXECUTE,EXECUTE,REFUSE,REFUSE
CAL-ACT-040,REFUSE,REFUSE,EXECUTE,REFUSE,REFUSE
CAL-ACT-045,REFUSE,EXECUTE,EXECUTE,REFUSE,REFUSE
CAL-ACT-143,REFUSE,EXECUTE,EXECUTE,REFUSE,REFUSE
CAL-ACT-145,REFUSE,EXECUTE,REFUSE,REFUSE,REFUSE
