row_code,true_row,is_probe
ROW-001,Q386,0
ROW-002,Q330,0
ROW-003,Q28,0
ROW-004,A50,0
ROW-005,Q254,0
ROW-006,Q283,1
ROW-007,Q90,0
ROW-008,Q294,0
ROW-009,Q368,0
ROW-010,Q277,0
ROW-011,Q85,0
ROW-012,Q371,0
ROW-013,Q310,0
ROW-014,Q255,0
ROW-015,A40,0
ROW-016,Q62,0
ROW-017,Q42,0
ROW-018,A24,0
ROW-019,Q203,0
ROW-020,Q262,0
ROW-021,Q236,0
ROW-022,Q266,0
ROW-023,Q86,0
ROW-024,Q40,1
ROW-025,Q364,0
ROW-026,Q202,0
ROW-027,A12,0
ROW-028,Q78,0
ROW-029,Q253,0
ROW-030,Q272,0
ROW-031,A47,0
ROW-032,Q10,0
ROW-033,Q326,0
ROW-034,Q38,0
ROW-035,A33,0
ROW-036,Q219,0
ROW-037,Q269,0
ROW-038,Q358,0
ROW-039,Q22,0
ROW-040,A109,0
ROW-041,Q374,0
ROW-042,Q319,0
ROW-043,Q366,0
ROW-044,Q323,0
ROW-045,Q2,0
ROW-046,Q231,0
ROW-047,A127,0
ROW-048,A128,0
ROW-049,Q250,0
ROW-050,Q65,0
ROW-051,Q71,0
ROW-052,Q309,0
ROW-053,A106,0
ROW-054,A122,0
ROW-055,Q18,0
ROW-056,Q282,0
ROW-057,Q380,0
ROW-058,Q344,0
ROW-059,Q227,0
ROW-060,Q372,0
ROW-061,A115,0
ROW-062,Q354,0
ROW-063,Q26,0
ROW-064,A39,0
ROW-065,A21,0
ROW-066,Q339,0
ROW-067,A102,0
ROW-068,Q7,0
ROW-069,Q217,0
ROW-070,A103,0
ROW-071,Q81,0
ROW-072,A104,0
ROW-073,Q214,1
ROW-074,A17,0
ROW-075,A25,0
ROW-076,Q31,0
ROW-077,Q50,0
ROW-078,Q84,0
ROW-079,Q220,0
ROW-080,Q336,0
ROW-081,A48,0
ROW-082,Q293,0
ROW-083,Q361,0
ROW-084,A2,1
ROW-085,A3,0
ROW-086,A26,0
ROW-087,Q4,0
ROW-088,Q240,0
ROW-089,Q270,0
ROW-090,Q322,0
ROW-091,Q264,0
ROW-092,Q337,0
ROW-093,A42,0
ROW-094,Q73,0
ROW-095,Q328,0
ROW-096,Q347,0
ROW-097,Q259,0
ROW-098,Q48,0
ROW-099,Q379,0
ROW-100,A143,0
ROW-101,Q349,0
ROW-102,A117,0
