row_code,true_row,is_probe
ROW-001,A117,0
ROW-002,Q218,0
ROW-003,Q268,0
ROW-004,A112,0
ROW-005,Q336,0
ROW-006,Q213,0
ROW-007,Q354,0
ROW-008,A40,0
ROW-009,Q240,0
ROW-010,Q80,0
ROW-011,A108,0
ROW-012,Q369,0
ROW-013,A141,0
ROW-014,Q332,0
ROW-015,Q92,0
ROW-016,Q257,0
ROW-017,Q255,0
ROW-018,Q206,0
ROW-019,Q87,0
ROW-020,Q27,0
ROW-021,A2,0
ROW-022,Q72,0
ROW-023,Q313,0
ROW-024,A23,0
ROW-025,Q3,0
ROW-026,Q342,0
ROW-027,A12,0
ROW-028,A138,0
ROW-029,Q83,0
ROW-030,Q25,0
ROW-031,A145,0
ROW-032,Q28,0
ROW-033,Q340,0
ROW-034,Q23,0
ROW-035,A109,0
ROW-036,Q47,0
ROW-037,Q392,0
ROW-038,Q299,0
ROW-039,A37,0
ROW-040,A150,0
ROW-041,Q311,0
ROW-042,A119,0
ROW-043,Q36,0
ROW-044,Q365,0
ROW-045,Q58,0
ROW-046,Q363,1
ROW-047,Q125,0
ROW-048,Q61,0
ROW-049,Q321,0
ROW-050,A6,0
ROW-051,Q24,0
ROW-052,Q97,0
ROW-053,A39,0
ROW-054,Q255,1
ROW-055,A11,0
ROW-056,Q202,0
ROW-057,A10,0
ROW-058,Q296,0
ROW-059,A129,0
ROW-060,Q397,0
ROW-061,Q323,1
ROW-062,Q298,0
ROW-063,Q96,0
ROW-064,A25,0
ROW-065,Q277,0
ROW-066,A16,0
ROW-067,Q51,0
ROW-068,Q376,0
ROW-069,Q212,0
ROW-070,Q7,0
ROW-071,Q241,0
ROW-072,Q273,0
ROW-073,Q81,0
ROW-074,Q394,0
ROW-075,Q351,0
ROW-076,Q73,0
ROW-077,Q345,0
ROW-078,Q63,0
ROW-079,A7,0
ROW-080,Q389,0
ROW-081,Q349,0
ROW-082,Q6,0
ROW-083,Q377,0
ROW-084,Q4,0
ROW-085,A41,0
ROW-086,A107,0
ROW-087,Q70,0
ROW-088,Q315,0
ROW-089,Q78,0
