row_code,true_row,is_probe
ROW-001,Q126(v1.1),0
ROW-002,Q218,0
ROW-003,A41,0
ROW-004,Q325,0
ROW-005,Q304,0
ROW-006,Q187(v1.1),0
ROW-007,Q317,0
ROW-008,Q58,0
ROW-009,Q294,0
ROW-010,Q373,0
ROW-011,A119,0
ROW-012,A115,0
ROW-013,Q243,0
ROW-014,Q355,0
ROW-015,A146,0
ROW-016,Q318,0
ROW-017,Q355,1
ROW-018,A129,0
ROW-019,Q153(v1.1),0
ROW-020,Q327,0
ROW-021,Q336,0
ROW-022,Q16,0
ROW-023,Q9,0
ROW-024,Q340,0
ROW-025,Q287,0
ROW-026,Q181(v1.1),0
ROW-027,A145,0
ROW-028,Q383,0
ROW-029,Q378,0
ROW-030,Q366,0
ROW-031,A115,1
ROW-032,A43,0
ROW-033,Q179(v1.1),0
ROW-034,Q365,0
ROW-035,A24,0
ROW-036,Q290,0
ROW-037,Q343,0
ROW-038,Q121(v1.1),0
ROW-039,Q327,1
ROW-040,A118,0
ROW-041,Q139(v1.1),0
ROW-042,Q391,0
ROW-043,Q198(v1.1),0
ROW-044,Q384,0
ROW-045,Q104(v1.1),0
ROW-046,Q232,0
ROW-047,Q141(v1.1),0
ROW-048,Q267,0
ROW-049,Q347,0
ROW-050,Q215,0
ROW-051,Q78,0
ROW-052,A147,0
ROW-053,A140,1
ROW-054,Q258,0
ROW-055,A122,0
ROW-056,Q50,0
ROW-057,Q94,0
ROW-058,Q282,0
ROW-059,A150,0
ROW-060,Q239,0
ROW-061,A8,0
ROW-062,Q371,0
ROW-063,Q332,0
ROW-064,Q221,0
ROW-065,Q303,0
ROW-066,Q81,0
ROW-067,Q203,0
ROW-068,Q281,0
ROW-069,A10,0
ROW-070,Q214,0
ROW-071,Q349,0
ROW-072,Q153(v1.1),1
ROW-073,Q260,0
ROW-074,Q161(v1.1),0
ROW-075,Q16,1
ROW-076,A103,0
ROW-077,A13,0
ROW-078,Q333,0
ROW-079,A140,0
ROW-080,Q217,0
ROW-081,Q154(v1.1),0
