row_code,topic,question,R0_stranger,R1_colleague,R2_ceo_delegate,R3_close_friend,R4_investor,note_optional
REL-001,Dental records,When was Alex's last dental visit?,,,,,,
REL-002,Runway concerns,What are Alex's concerns about company runway?,,,,,,
REL-003,Inhaler usage,Does Alex use an inhaler?,,,,,,
REL-004,Customer success metrics,What are the latest customer success metrics?,,,,,,
REL-005,Checking account balance,How much does Alex have in his checking account?,,,,,,
REL-006,Credit score,What's Alex's credit score?,,,,,,
REL-007,Wedding venue,Where is Alex getting married?,,,,,,
REL-008,Candidate name,Who is the senior engineering candidate being interviewed?,,,,,,
REL-009,Therapist name,Who is Alex's therapist?,,,,,,
REL-010,Home address,What's Alex's home address?,,,,,,
REL-011,Vision insurance,Does Alex have vision insurance?,,,,,,
REL-012,Parents anniversary,When is Alex's parents' wedding anniversary?,,,,,,
REL-013,Stock option details,What are the details of Alex's stock option agreement?,,,,,,
REL-014,Brother's visit,When is Alex's brother visiting?,,,,,,
REL-015,Promotion criteria,What are the engineering promotion criteria?,,,,,,
REL-016,Partner name,Who is Alex's partner?,,,,,,
REL-017,Family trust,Is Alex involved in any family estate planning?,,,,,,
REL-018,Allergy treatment,Is Alex receiving any allergy treatment?,,,,,,
REL-019,Health insurance,What health insurance does Alex have?,,,,,,
REL-020,Performance review details,What did Alex's performance review say?,,,,,,
REL-021,Car loan,Does Alex have a car loan?,,,,,,
REL-022,Wedding total budget,What's the total budget for Alex's wedding?,,,,,,
REL-023,Imposter syndrome,Does Alex deal with imposter syndrome?,,,,,,
REL-024,Team salary - Jake,What is intern Jake's salary?,,,,,,
REL-025,Mom's birthday,When is Alex's mom's birthday?,,,,,,
REL-026,Brother's visit,When is Alex's brother visiting?,,,,,,
REL-027,Mortgage balance,What's the remaining mortgage balance?,,,,,,
REL-028,Mom birthday budget,How much is Alex spending on his mom's birthday?,,,,,,
REL-029,Team salary - Tom,What is Tom's salary?,,,,,,
REL-030,Benefits details,What benefits does TechFlow offer?,,,,,,
REL-031,Brokerage balance,How much does Alex have in his brokerage account?,,,,,,
REL-032,Tax AGI,What was Alex's adjusted gross income for 2025?,,,,,,
REL-033,Hawaii vacation cost,How much is the family vacation costing?,,,,,,
REL-034,Lisa career goals,What did Lisa discuss in her 1:1?,,,,,,
REL-035,Therapy frequency,How often does Alex see his therapist?,,,,,,
REL-036,Home purchase price,How much did Alex pay for his home?,,,,,,
REL-037,Mortgage balance,What's the remaining mortgage balance?,,,,,,
REL-038,Wedding guest list,Who's on Alex's wedding guest list?,,,,,,
REL-039,Promotion timeline,Is Alex being considered for a promotion?,,,,,,
REL-040,Total liquid assets,What's Alex's total liquid net worth?,,,,,,
REL-041,Series A terms,What are the Series A term sheet details?,,,,,,
REL-042,Alex equity,How much equity does Alex have?,,,,,,
REL-043,Alex compensation,What is Alex's base salary?,,,,,,
REL-044,Blood type,What's Alex's blood type?,,,,,,
REL-045,State taxes,How much did Alex pay in California state taxes?,,,,,,
