row_code,true_row,is_probe
ROW-001,Q104(v1.1),0
ROW-002,Q227,0
ROW-003,Q161(v1.1),0
ROW-004,A147,0
ROW-005,Q315,0
ROW-006,A138,0
ROW-007,Q211,1
ROW-008,Q153(v1.1),0
ROW-009,Q267,0
ROW-010,Q125,0
ROW-011,A23,0
ROW-012,Q282,0
ROW-013,Q36,0
ROW-014,Q42,1
ROW-015,Q232,0
ROW-016,Q71,0
ROW-017,Q121(v1.1),0
ROW-018,Q89,0
ROW-019,Q154(v1.1),0
ROW-020,Q300,0
ROW-021,Q87,0
ROW-022,Q375,0
ROW-023,Q283,0
ROW-024,A17,0
ROW-025,A119,0
ROW-026,Q126(v1.1),0
ROW-027,Q222,0
ROW-028,A103,0
ROW-029,A126,0
ROW-030,A149,0
ROW-031,Q181(v1.1),0
ROW-032,A16,0
ROW-033,Q179(v1.1),0
ROW-034,Q39,0
ROW-035,Q331,0
ROW-036,Q273,0
ROW-037,Q211,0
ROW-038,Q187(v1.1),0
ROW-039,Q76,0
ROW-040,Q249,0
ROW-041,A129,0
ROW-042,Q17,0
ROW-043,Q42,0
ROW-044,A33,0
ROW-045,Q57,0
ROW-046,Q280,0
ROW-047,Q44,0
ROW-048,A140,0
ROW-049,A15,0
ROW-050,Q13,0
ROW-051,Q141(v1.1),0
ROW-052,Q3,0
ROW-053,Q86,0
ROW-054,Q325,0
ROW-055,Q307,0
ROW-056,Q65,0
ROW-057,Q48,0
ROW-058,A10,0
ROW-059,Q221,0
ROW-060,Q337,1
ROW-061,Q198(v1.1),0
ROW-062,A8,1
ROW-063,A108,1
ROW-064,Q139(v1.1),0
ROW-065,Q347,0
ROW-066,Q204,0
ROW-067,Q21,0
ROW-068,A3,0
ROW-069,A27,0
ROW-070,A21,0
ROW-071,Q9,0
ROW-072,A108,0
ROW-073,A115,0
ROW-074,Q126(v1.1),1
ROW-075,Q258,0
ROW-076,Q68,0
ROW-077,Q350,0
ROW-078,Q61,0
ROW-079,Q352,0
ROW-080,A8,0
ROW-081,Q337,0
