row_code,true_question_id,is_duplicate
QA-001,252,0
QA-002,34,0
QA-003,239,0
QA-004,42,0
QA-005,231,0
QA-006,135,0
QA-007,50,0
QA-008,342,0
QA-009,340,0
QA-010,291,0
QA-011,73,0
QA-012,182,0
QA-013,112,0
QA-014,23,0
QA-015,110,0
QA-016,101,0
QA-017,249,0
QA-018,293,0
QA-019,99,0
QA-020,234,0
QA-021,167,0
QA-022,365,0
QA-023,353,0
QA-024,91,0
QA-025,296,0
QA-026,257,0
QA-027,329,0
QA-028,124,0
QA-029,389,0
QA-030,217,0
QA-031,218,0
QA-032,268,0
QA-033,93,0
QA-034,371,0
QA-035,392,0
QA-036,70,0
QA-037,314,0
QA-038,63,0
QA-039,273,0
QA-040,333,1
QA-041,192,1
QA-042,254,0
QA-043,250,0
QA-044,47,1
QA-045,395,0
QA-046,360,0
QA-047,227,0
QA-048,283,0
QA-049,154,0
QA-050,89,0
QA-051,206,1
QA-052,30,0
QA-053,179,0
QA-054,122,0
QA-055,313,0
QA-056,149,0
QA-057,337,0
QA-058,261,0
QA-059,277,0
QA-060,370,1
QA-061,298,0
QA-062,366,0
QA-063,152,0
QA-064,11,0
QA-065,280,0
QA-066,98,0
QA-067,108,0
QA-068,106,0
QA-069,6,0
QA-070,192,0
QA-071,36,0
QA-072,256,0
QA-073,115,0
QA-074,220,0
QA-075,288,0
QA-076,170,0
QA-077,338,0
QA-078,326,0
QA-079,88,0
QA-080,28,0
QA-081,247,0
QA-082,12,0
QA-083,316,0
QA-084,140,0
QA-085,1,0
QA-086,134,0
QA-087,209,0
QA-088,372,0
QA-089,385,0
QA-090,77,0
QA-091,119,0
QA-092,64,0
QA-093,174,0
QA-094,156,0
QA-095,251,0
QA-096,216,0
QA-097,62,0
QA-098,327,0
QA-099,102,1
QA-100,160,0
QA-101,378,1
QA-102,118,0
QA-103,301,0
QA-104,190,0
QA-105,383,0
QA-106,178,0
QA-107,107,0
QA-108,390,1
QA-109,344,0
QA-110,111,0
QA-111,193,0
QA-112,293,1
QA-113,17,0
QA-114,376,0
QA-115,39,0
QA-116,200,0
QA-117,201,0
QA-118,265,0
QA-119,331,0
QA-120,139,0
QA-121,349,0
QA-122,260,0
QA-123,22,0
QA-124,3,0
QA-125,95,0
QA-126,255,0
QA-127,87,0
QA-128,47,0
QA-129,76,0
QA-130,104,0
QA-131,196,0
QA-132,102,0
QA-133,161,0
QA-134,33,0
QA-135,328,0
QA-136,116,0
QA-137,263,0
QA-138,53,0
QA-139,311,0
QA-140,194,0
QA-141,16,1
QA-142,165,0
QA-143,10,0
QA-144,41,0
QA-145,72,0
QA-146,279,0
QA-147,286,0
QA-148,92,0
QA-149,51,0
QA-150,295,0
QA-151,289,1
QA-152,315,0
QA-153,397,1
QA-154,26,0
QA-155,198,0
QA-156,40,0
QA-157,188,0
QA-158,117,0
QA-159,396,0
QA-160,241,0
QA-161,32,0
QA-162,244,0
QA-163,339,0
QA-164,141,0
QA-165,269,0
QA-166,94,0
QA-167,224,0
QA-168,355,0
QA-169,336,0
QA-170,356,0
QA-171,128,0
QA-172,186,0
QA-173,137,0
QA-174,189,0
QA-175,219,0
QA-176,177,0
QA-177,266,0
QA-178,272,0
QA-179,400,1
QA-180,333,0
QA-181,4,0
QA-182,126,0
QA-183,151,0
QA-184,142,0
QA-185,187,0
QA-186,109,0
QA-187,82,0
QA-188,285,1
QA-189,367,0
QA-190,214,0
QA-191,303,0
QA-192,211,0
QA-193,24,0
QA-194,309,0
QA-195,67,0
QA-196,379,0
QA-197,26,1
QA-198,78,0
QA-199,127,0
QA-200,233,0
QA-201,208,0
QA-202,346,0
QA-203,228,0
QA-204,157,0
QA-205,300,0
QA-206,133,0
QA-207,29,0
QA-208,7,0
QA-209,38,0
QA-210,129,0
QA-211,155,0
QA-212,168,0
QA-213,138,0
QA-214,299,0
QA-215,248,0
QA-216,323,0
QA-217,96,0
QA-218,5,0
QA-219,169,0
QA-220,103,0
QA-221,57,0
QA-222,332,0
QA-223,348,0
QA-224,223,0
QA-225,290,0
QA-226,398,0
QA-227,394,0
QA-228,370,0
QA-229,25,0
QA-230,393,0
QA-231,52,0
QA-232,240,0
QA-233,79,0
QA-234,43,0
QA-235,130,0
QA-236,226,0
QA-237,335,0
QA-238,132,0
QA-239,375,0
QA-240,391,0
QA-241,281,0
QA-242,397,0
QA-243,276,0
QA-244,191,0
QA-245,304,0
QA-246,46,0
QA-247,357,0
QA-248,173,0
QA-249,287,0
QA-250,81,0
QA-251,60,0
QA-252,345,0
QA-253,308,0
QA-254,245,0
QA-255,8,0
QA-256,354,0
QA-257,347,0
QA-258,305,0
QA-259,330,0
QA-260,71,0
QA-261,162,0
QA-262,352,0
QA-263,97,0
QA-264,58,0
QA-265,183,0
QA-266,14,0
QA-267,380,0
QA-268,206,0
QA-269,302,0
QA-270,387,0
QA-271,65,0
QA-272,320,0
QA-273,120,0
QA-274,19,0
QA-275,259,0
QA-276,362,0
