row_code,true_row,is_probe
ROW-001,Q111(v1.1),0
ROW-002,A112,0
ROW-003,Q113(v1.1),0
ROW-004,Q223,0
ROW-005,Q356,0
ROW-006,Q247,0
ROW-007,A106,0
ROW-008,A143,0
ROW-009,Q379,0
ROW-010,Q67,0
ROW-011,A46,0
ROW-012,A48,0
ROW-013,A25,0
ROW-014,Q254,0
ROW-015,A6,0
ROW-016,Q321,0
ROW-017,Q54,0
ROW-018,A32,0
ROW-019,Q369,0
ROW-020,Q158(v1.1),0
ROW-021,Q208,0
ROW-022,Q293,0
ROW-023,Q367,0
ROW-024,Q380,0
ROW-025,Q256,1
ROW-026,Q156(v1.1),0
ROW-027,A14,0
ROW-028,Q320,0
ROW-029,Q79,0
ROW-030,Q175(v1.1),0
ROW-031,Q354,1
ROW-032,Q245,0
ROW-033,Q129(v1.1),0
ROW-034,Q339,0
ROW-035,Q123(v1.1),0
ROW-036,Q309,0
ROW-037,Q285,0
ROW-038,Q63,0
ROW-039,A127,0
ROW-040,Q91,0
ROW-041,A26,0
ROW-042,Q286,0
ROW-043,Q242,0
ROW-044,Q60,0
ROW-045,A110,0
ROW-046,Q46,0
ROW-047,Q72,0
ROW-048,Q4,0
ROW-049,Q278,0
ROW-050,Q52,0
ROW-051,Q14,0
ROW-052,Q228,0
ROW-053,A34,0
ROW-054,A28,0
ROW-055,A110,1
ROW-056,Q194(v1.1),0
ROW-057,A35,0
ROW-058,Q20,0
ROW-059,Q354,0
ROW-060,Q169(v1.1),0
ROW-061,Q387,0
ROW-062,A25,1
ROW-063,Q376,0
ROW-064,A42,0
ROW-065,Q160(v1.1),0
ROW-066,Q256,0
ROW-067,A132,0
ROW-068,Q309,1
ROW-069,Q295,0
ROW-070,Q45,0
ROW-071,A144,0
ROW-072,Q170(v1.1),0
ROW-073,Q341,0
ROW-074,A139,0
ROW-075,Q24,0
ROW-076,Q264,0
ROW-077,Q33,0
ROW-078,Q377,0
ROW-079,Q380,1
ROW-080,Q107(v1.1),0
ROW-081,Q314,0
ROW-082,Q103(v1.1),0
