row_code,true_question_id,is_duplicate
REL-001,168,0
REL-002,103,0
REL-003,172,0
REL-004,130,0
REL-005,131,0
REL-006,143,0
REL-007,177,0
REL-008,105,0
REL-009,156,0
REL-010,140,0
REL-011,173,0
REL-012,187,0
REL-013,109,0
REL-014,188,0
REL-015,122,0
REL-016,179,0
REL-017,195,0
REL-018,170,0
REL-019,163,0
REL-020,106,0
REL-021,148,0
REL-022,145,0
REL-023,175,1
REL-024,117,0
REL-025,184,1
REL-026,188,1
REL-027,142,1
REL-028,153,0
REL-029,116,0
REL-030,121,0
REL-031,133,0
REL-032,135,0
REL-033,154,0
REL-034,128,0
REL-035,157,0
REL-036,141,0
REL-037,142,0
REL-038,193,0
REL-039,102,0
REL-040,134,0
REL-041,124,0
REL-042,112,0
REL-043,111,1
REL-044,159,0
REL-045,137,0
REL-046,178,0
REL-047,169,0
REL-048,164,1
REL-049,200,0
REL-050,189,0
REL-051,115,0
REL-052,181,0
REL-053,162,0
REL-054,107,0
REL-055,101,0
REL-056,165,0
REL-057,151,0
REL-058,196,0
REL-059,138,0
REL-060,117,1
REL-061,110,0
REL-062,113,0
REL-063,158,0
REL-064,139,0
REL-065,147,0
REL-066,197,0
REL-067,144,0
REL-068,186,0
REL-069,199,0
REL-070,155,0
REL-071,180,0
REL-072,152,0
REL-073,127,0
REL-074,182,0
REL-075,150,0
REL-076,190,0
REL-077,175,0
REL-078,198,0
REL-079,174,0
REL-080,194,0
REL-081,120,0
REL-082,149,0
REL-083,184,0
REL-084,160,0
REL-085,161,0
REL-086,126,0
REL-087,185,0
REL-088,108,0
REL-089,170,1
REL-090,164,0
REL-091,129,0
REL-092,118,0
REL-093,192,0
REL-094,132,0
REL-095,146,0
REL-096,104,0
REL-097,167,0
REL-098,166,0
REL-099,163,1
REL-100,114,0
REL-101,123,0
REL-102,111,0
REL-103,183,0
REL-104,119,0
REL-105,136,0
REL-106,174,1
REL-107,191,0
REL-108,176,0
REL-109,171,0
