row_code,true_action_id,is_duplicate
ACT-001,144,0
ACT-002,53,0
ACT-003,124,0
ACT-004,191,0
ACT-005,155,0
ACT-006,166,0
ACT-007,153,0
ACT-008,74,0
ACT-009,103,0
ACT-010,7,0
ACT-011,118,0
ACT-012,84,0
ACT-013,1,0
ACT-014,85,0
ACT-015,111,0
ACT-016,180,0
ACT-017,10,0
ACT-018,187,0
ACT-019,43,0
ACT-020,182,0
ACT-021,6,0
ACT-022,4,0
ACT-023,21,0
ACT-024,24,0
ACT-025,15,0
ACT-026,161,0
ACT-027,80,0
ACT-028,183,0
ACT-029,122,0
ACT-030,72,0
ACT-031,88,0
ACT-032,83,0
ACT-033,164,0
ACT-034,148,0
ACT-035,37,0
ACT-036,18,0
ACT-037,60,0
ACT-038,48,0
ACT-039,65,0
ACT-040,196,0
ACT-041,200,1
ACT-042,134,0
ACT-043,126,0
ACT-044,79,0
ACT-045,101,1
ACT-046,105,0
ACT-047,41,0
ACT-048,185,0
ACT-049,151,0
ACT-050,120,0
ACT-051,31,0
ACT-052,45,0
ACT-053,9,0
ACT-054,157,0
ACT-055,36,0
ACT-056,110,0
ACT-057,47,0
ACT-058,109,0
ACT-059,28,0
ACT-060,104,0
ACT-061,192,0
ACT-062,5,0
ACT-063,177,0
ACT-064,13,0
ACT-065,75,0
ACT-066,193,0
ACT-067,138,0
ACT-068,174,0
ACT-069,128,0
ACT-070,57,0
ACT-071,165,0
ACT-072,17,0
ACT-073,77,0
ACT-074,69,0
ACT-075,25,0
ACT-076,145,0
ACT-077,141,0
ACT-078,169,0
ACT-079,121,0
ACT-080,67,0
ACT-081,95,0
ACT-082,115,0
ACT-083,44,0
ACT-084,119,0
ACT-085,33,0
ACT-086,17,1
ACT-087,56,0
ACT-088,163,0
ACT-089,135,0
ACT-090,2,0
ACT-091,120,1
ACT-092,30,0
ACT-093,89,0
ACT-094,137,0
ACT-095,123,0
ACT-096,176,0
ACT-097,188,0
ACT-098,97,0
ACT-099,92,0
ACT-100,66,0
ACT-101,94,0
ACT-102,71,0
ACT-103,172,0
ACT-104,197,0
ACT-105,133,0
ACT-106,190,0
ACT-107,16,0
ACT-108,186,0
ACT-109,26,0
ACT-110,70,0
ACT-111,167,0
ACT-112,35,0
ACT-113,81,0
ACT-114,156,0
ACT-115,32,0
ACT-116,131,0
ACT-117,50,0
ACT-118,154,0
ACT-119,55,0
ACT-120,93,0
ACT-121,39,0
ACT-122,38,0
ACT-123,195,1
ACT-124,42,0
ACT-125,90,0
ACT-126,98,0
ACT-127,116,0
ACT-128,143,0
ACT-129,58,0
ACT-130,106,0
ACT-131,114,0
ACT-132,112,0
ACT-133,64,0
ACT-134,76,0
ACT-135,52,0
ACT-136,130,0
ACT-137,178,0
ACT-138,184,0
ACT-139,200,0
ACT-140,181,0
ACT-141,68,0
ACT-142,20,0
ACT-143,132,0
ACT-144,108,0
ACT-145,125,0
ACT-146,29,0
ACT-147,173,0
ACT-148,63,0
ACT-149,23,0
ACT-150,82,0
ACT-151,22,0
ACT-152,100,0
ACT-153,101,0
ACT-154,175,0
ACT-155,43,1
ACT-156,19,0
ACT-157,159,0
ACT-158,11,0
ACT-159,59,0
ACT-160,158,0
ACT-161,146,0
ACT-162,194,0
ACT-163,46,0
ACT-164,199,0
ACT-165,102,0
ACT-166,172,1
ACT-167,198,0
ACT-168,51,0
ACT-169,149,0
ACT-170,34,0
ACT-171,152,0
ACT-172,78,0
ACT-173,27,0
ACT-174,3,0
ACT-175,160,0
ACT-176,107,0
ACT-177,40,0
ACT-178,91,0
ACT-179,113,0
ACT-180,26,1
ACT-181,179,0
ACT-182,136,0
ACT-183,117,0
ACT-184,129,0
ACT-185,8,0
ACT-186,49,0
ACT-187,195,0
ACT-188,96,0
ACT-189,162,0
ACT-190,54,0
ACT-191,127,0
ACT-192,99,0
ACT-193,87,0
ACT-194,150,0
ACT-195,73,0
ACT-196,140,0
ACT-197,91,1
ACT-198,171,0
ACT-199,61,0
ACT-200,110,1
ACT-201,139,0
ACT-202,142,0
ACT-203,147,0
ACT-204,14,0
ACT-205,12,0
ACT-206,62,0
ACT-207,86,0
ACT-208,189,0
ACT-209,170,0
ACT-210,168,0
