row_code,true_row,is_probe
ROW-001,A50,0
ROW-002,Q90,0
ROW-003,Q351,0
ROW-004,Q329,0
ROW-005,Q99,0
ROW-006,Q300,0
ROW-007,Q331,0
ROW-008,Q364,0
ROW-009,Q23,0
ROW-010,A44,1
ROW-011,Q32,0
ROW-012,A29,0
ROW-013,Q251,0
ROW-014,Q394,0
ROW-015,Q93,0
ROW-016,Q344,0
ROW-017,A138,0
ROW-018,A2,0
ROW-019,Q387,0
ROW-020,Q7,0
ROW-021,Q221,0
ROW-022,A143,0
ROW-023,A36,1
ROW-024,A35,0
ROW-025,Q89,0
ROW-026,Q55,0
ROW-027,Q204,0
ROW-028,Q77,0
ROW-029,Q45,0
ROW-030,A49,0
ROW-031,Q386,0
ROW-032,Q320,0
ROW-033,Q82,0
ROW-034,Q354,0
ROW-035,Q37,0
ROW-036,Q400,0
ROW-037,Q12,0
ROW-038,Q5,0
ROW-039,Q373,0
ROW-040,A24,1
ROW-041,Q231,0
ROW-042,Q342,0
ROW-043,Q71,0
ROW-044,Q226,0
ROW-045,Q125,0
ROW-046,A7,0
ROW-047,Q301,0
ROW-048,A141,0
ROW-049,Q87,0
ROW-050,Q58,1
ROW-051,Q256,0
ROW-052,Q210,0
ROW-053,Q323,0
ROW-054,Q61,0
ROW-055,A25,0
ROW-056,Q222,0
ROW-057,Q369,0
ROW-058,Q230,0
ROW-059,Q357,0
ROW-060,Q346,0
ROW-061,Q49,0
ROW-062,Q253,0
ROW-063,Q384,0
ROW-064,Q298,0
ROW-065,Q295,0
ROW-066,Q207,1
ROW-067,Q311,0
ROW-068,Q243,0
ROW-069,Q96,0
ROW-070,Q261,0
ROW-071,A33,0
ROW-072,Q85,0
ROW-073,Q233,0
ROW-074,Q290,0
ROW-075,A30,0
ROW-076,Q257,0
ROW-077,A127,0
ROW-078,A22,0
ROW-079,Q291,0
ROW-080,Q92,0
ROW-081,A42,0
ROW-082,Q26,0
ROW-083,A39,0
ROW-084,A9,0
ROW-085,Q292,0
ROW-086,Q72,0
ROW-087,Q36,0
ROW-088,Q88,0
ROW-089,Q76,0
ROW-090,Q213,0
ROW-091,Q380,0
ROW-092,Q348,0
ROW-093,Q271,0
ROW-094,Q327,0
ROW-095,Q321,0
ROW-096,Q376,0
ROW-097,A101,0
ROW-098,Q79,0
ROW-099,Q277,0
ROW-100,Q27,0
ROW-101,Q381,0
ROW-102,A46,0
ROW-103,Q343,0
ROW-104,Q212,0
ROW-105,Q288,0
ROW-106,Q315,0
ROW-107,Q375,0
ROW-108,A105,0
ROW-109,Q59,0
ROW-110,Q272,0
ROW-111,Q377,0
ROW-112,A24,0
ROW-113,A3,0
ROW-114,Q10,0
ROW-115,Q24,0
ROW-116,Q224,0
ROW-117,A132,0
ROW-118,A112,0
ROW-119,A131,0
ROW-120,Q382,0
ROW-121,A37,0
ROW-122,A31,0
ROW-123,Q310,0
ROW-124,Q397,0
ROW-125,Q30,0
ROW-126,A17,0
ROW-127,A125,0
ROW-128,Q368,0
ROW-129,Q391,0
ROW-130,Q86,0
ROW-131,Q392,0
ROW-132,Q63,0
ROW-133,Q31,0
ROW-134,Q4,0
ROW-135,Q398,0
ROW-136,Q2,0
ROW-137,Q53,0
ROW-138,Q337,0
ROW-139,Q294,0
ROW-140,Q378,0
ROW-141,Q214,0
ROW-142,A32,0
ROW-143,Q240,0
ROW-144,Q95,1
ROW-145,Q19,0
ROW-146,Q305,0
ROW-147,Q236,0
ROW-148,Q217,0
ROW-149,Q353,0
ROW-150,Q100,0
ROW-151,Q235,0
ROW-152,Q362,0
ROW-153,Q334,0
ROW-154,Q275,0
ROW-155,Q70,0
ROW-156,Q259,0
ROW-157,A108,0
ROW-158,A27,0
ROW-159,Q68,0
ROW-160,Q262,0
ROW-161,A150,0
ROW-162,Q47,0
ROW-163,A48,0
ROW-164,Q358,1
ROW-165,Q242,1
ROW-166,Q75,0
ROW-167,A11,0
ROW-168,A21,0
ROW-169,A113,0
ROW-170,Q207,0
ROW-171,A114,0
ROW-172,Q278,0
ROW-173,Q245,0
ROW-174,Q209,0
ROW-175,Q13,0
ROW-176,Q280,0
ROW-177,A117,0
ROW-178,A130,0
ROW-179,Q232,0
ROW-180,A121,0
ROW-181,Q396,0
ROW-182,Q69,0
ROW-183,Q283,0
ROW-184,Q295,1
ROW-185,A16,0
ROW-186,A128,0
ROW-187,Q385,0
ROW-188,Q293,0
ROW-189,Q44,0
ROW-190,A13,0
ROW-191,A103,0
ROW-192,Q16,0
ROW-193,Q374,0
ROW-194,Q223,0
ROW-195,Q249,0
ROW-196,A102,0
ROW-197,Q285,0
ROW-198,A135,0
ROW-199,A14,0
ROW-200,A6,0
ROW-201,Q363,0
ROW-202,Q57,0
ROW-203,Q216,0
ROW-204,Q263,0
ROW-205,Q306,0
ROW-206,A146,0
ROW-207,Q322,0
ROW-208,Q62,0
ROW-209,Q361,0
ROW-210,Q94,0
ROW-211,Q54,0
ROW-212,Q367,0
ROW-213,A149,0
ROW-214,Q360,0
ROW-215,Q20,0
ROW-216,Q260,0
ROW-217,Q58,0
ROW-218,Q48,0
ROW-219,Q35,0
ROW-220,A44,0
ROW-221,A122,0
ROW-222,Q255,0
ROW-223,Q328,0
ROW-224,Q370,0
ROW-225,Q313,0
ROW-226,A134,0
ROW-227,Q6,0
ROW-228,A47,0
ROW-229,Q65,0
ROW-230,Q287,0
ROW-231,Q8,0
ROW-232,A5,0
ROW-233,Q25,0
ROW-234,A19,0
ROW-235,Q40,0
ROW-236,Q215,0
ROW-237,Q372,0
ROW-238,Q302,0
ROW-239,A43,0
ROW-240,Q225,0
ROW-241,A8,0
ROW-242,A36,0
ROW-243,Q333,0
ROW-244,Q284,0
ROW-245,Q379,0
ROW-246,Q228,0
ROW-247,A144,0
ROW-248,Q266,0
ROW-249,Q307,0
ROW-250,Q324,0
ROW-251,A133,0
ROW-252,Q67,0
ROW-253,Q248,0
ROW-254,Q237,0
ROW-255,A111,0
ROW-256,A110,0
ROW-257,Q18,0
ROW-258,A124,0
ROW-259,Q318,0
ROW-260,Q206,0
ROW-261,Q319,0
ROW-262,Q335,0
ROW-263,Q281,0
ROW-264,A118,0
ROW-265,Q56,0
ROW-266,Q338,0
ROW-267,Q3,0
ROW-268,A145,0
ROW-269,Q296,0
ROW-270,Q97,0
ROW-271,Q359,0
ROW-272,A123,0
ROW-273,Q261,1
ROW-274,Q242,0
ROW-275,Q80,0
ROW-276,Q73,0
ROW-277,Q83,0
ROW-278,Q60,0
ROW-279,Q399,0
ROW-280,Q95,0
ROW-281,Q326,0
ROW-282,Q1,0
ROW-283,Q393,0
ROW-284,A1,0
ROW-285,Q21,0
ROW-286,Q252,0
ROW-287,Q42,0
ROW-288,Q355,0
ROW-289,Q33,0
ROW-290,Q64,0
ROW-291,Q286,0
ROW-292,Q239,0
ROW-293,Q41,0
ROW-294,Q317,0
ROW-295,Q388,0
ROW-296,Q238,0
ROW-297,Q349,0
ROW-298,Q91,0
ROW-299,Q98,0
ROW-300,A23,0
ROW-301,A120,0
ROW-302,Q43,0
ROW-303,Q276,0
ROW-304,Q34,0
ROW-305,Q356,0
ROW-306,Q325,0
ROW-307,A139,0
ROW-308,Q330,0
ROW-309,Q299,0
ROW-310,Q46,0
ROW-311,Q246,0
ROW-312,Q270,0
ROW-313,Q309,0
ROW-314,Q347,0
ROW-315,A38,0
ROW-316,Q29,0
ROW-317,Q314,0
ROW-318,Q227,0
ROW-319,Q66,0
ROW-320,Q316,0
ROW-321,Q39,0
ROW-322,A26,0
ROW-323,Q312,0
ROW-324,A104,0
ROW-325,A129,0
ROW-326,Q52,0
ROW-327,Q389,0
ROW-328,A12,0
ROW-329,Q340,0
ROW-330,Q297,0
ROW-331,A18,0
ROW-332,A40,0
ROW-333,Q50,0
ROW-334,Q263,1
ROW-335,Q218,0
ROW-336,Q9,0
ROW-337,Q332,0
ROW-338,Q308,0
ROW-339,A116,0
ROW-340,Q241,0
ROW-341,Q201,0
ROW-342,Q205,0
ROW-343,Q74,0
ROW-344,A45,0
ROW-345,Q264,0
ROW-346,A4,0
ROW-347,Q11,0
ROW-348,Q341,0
ROW-349,Q289,0
ROW-350,Q250,0
ROW-351,A148,0
ROW-352,Q366,0
ROW-353,Q14,0
ROW-354,Q254,0
ROW-355,Q350,0
ROW-356,A41,0
ROW-357,Q15,0
ROW-358,Q365,0
ROW-359,Q345,0
ROW-360,Q22,0
ROW-361,Q339,0
ROW-362,Q282,0
ROW-363,A109,0
ROW-364,Q88,1
ROW-365,Q258,0
ROW-366,Q211,0
ROW-367,A15,0
ROW-368,Q244,0
ROW-369,Q269,0
ROW-370,Q229,0
ROW-371,A119,0
ROW-372,Q395,0
ROW-373,Q268,0
ROW-374,Q352,0
ROW-375,A140,0
ROW-376,Q208,0
ROW-377,Q303,0
ROW-378,Q234,0
ROW-379,A136,0
ROW-380,Q28,0
ROW-381,Q220,0
ROW-382,A20,0
ROW-383,A126,0
ROW-384,Q78,0
ROW-385,Q38,0
ROW-386,Q279,0
ROW-387,A147,0
ROW-388,A142,0
ROW-389,Q265,0
ROW-390,Q273,0
ROW-391,Q383,0
ROW-392,Q202,0
ROW-393,A106,0
ROW-394,Q371,0
ROW-395,Q84,0
ROW-396,A10,0
ROW-397,Q390,0
ROW-398,Q274,0
ROW-399,Q304,0
ROW-400,Q81,0
ROW-401,A34,0
ROW-402,A115,0
ROW-403,Q51,0
ROW-404,Q247,0
ROW-405,A28,0
ROW-406,Q17,0
ROW-407,Q219,0
ROW-408,Q267,0
ROW-409,A107,0
ROW-410,A137,0
ROW-411,Q358,0
ROW-412,Q203,0
ROW-413,Q336,0
